id,features
10,"[0.25866490602493286, 0.3560594320297241, 0.15589039027690887, -0.7067124843597412, -0.07414215058088303, -0.6250080466270447, -0.05738450214266777, 0.45336630940437317, 0.2607487738132477, -0.6079995632171631]"
20,"[0.12449632585048676, -0.29282501339912415, -0.31930822134017944, -0.3671385943889618, -0.31010758876800537, -0.29936856031417847, -0.6766529083251953, 0.5378214120864868, 0.42983078956604004, -0.4091912806034088]"
30,"[0.9557555317878723, 0.6764761805534363, 0.11414649337530136, 0.43234437704086304, -0.5119307637214661, -0.1990749090909958, -0.16660678386688232, 0.8415067195892334, 0.34598907828330994, -0.7981700301170349]"
40,"[0.3184879720211029, 0.6365472078323364, 0.5966125726699829, -0.13262538611888885, 0.8105250597000122, 0.5506469011306763, -0.19707782566547394, 0.09529021382331848, -0.3412545621395111, -1.6129752397537231]"
50,"[0.45523127913475037, 0.34402626752853394, -0.06708601862192154, 0.007226735819131136, 0.3097579777240753, -0.8512598276138306, -0.24489924311637878, 0.5298478007316589, -0.04078945890069008, -0.9313908815383911]"
60,"[0.21363653242588043, 0.0440061092376709, 0.3154221177101135, -0.15122082829475403, 0.36275243759155273, 0.23611296713352203, -0.8566257953643799, 0.29922306537628174, -0.2893802225589752, -0.9997115135192871]"
70,"[0.5818862915039062, 0.614563524723053, -0.13890913128852844, -0.8180220723152161, 0.04553372412919998, -0.5526909828186035, -0.6733102798461914, -0.5052410364151001, 0.5817825198173523, -0.553012490272522]"
80,"[0.2944980561733246, 0.3958250880241394, -0.2260167896747589, 0.4749138057231903, -0.07854972779750824, -0.24395343661308289, -0.6854967474937439, 0.11123424768447876, 0.5998263359069824, -1.2416057586669922]"
90,"[-0.20923155546188354, 0.3203229606151581, 0.26405906677246094, -0.04103739559650421, 0.6773572564125061, -1.313533902168274, -0.32959917187690735, 0.7665162682533264, 0.6443639993667603, -0.2798428535461426]"
100,"[0.6438331604003906, 0.1237289160490036, -0.2554035186767578, -0.18459452688694, -0.3055124282836914, -0.36968177556991577, -0.7710352540016174, 0.8301749229431152, 0.8783570528030396, -0.2201165109872818]"
110,"[0.29684922099113464, 0.04243751987814903, -0.0787268728017807, -0.50023353099823, 0.22186610102653503, -0.8854017853736877, -0.4030713438987732, 0.4776608943939209, -0.05902310833334923, -0.7147971391677856]"
120,"[0.1383373886346817, 0.14296334981918335, -0.04083345830440521, -0.4668338894844055, 0.17461654543876648, -0.45612430572509766, -0.26984161138534546, 0.5205865502357483, -0.0030359565280377865, -0.4516306221485138]"
130,"[0.6453863978385925, 0.4260669946670532, 0.0701330378651619, 0.6229196786880493, 0.12231657654047012, -0.6392528414726257, -0.43833842873573303, 0.36460673809051514, 0.336301326751709, -0.8666788339614868]"
140,"[0.5787362456321716, -0.6531964540481567, 0.13493238389492035, -0.13294458389282227, -0.2333584427833557, 0.13220679759979248, -0.2605881989002228, 1.1015067100524902, 0.048771243542432785, -0.7811460494995117]"
150,"[0.2119867503643036, 0.17762678861618042, 0.1067868173122406, -0.49458131194114685, 0.4418482780456543, -0.5254315733909607, -0.2657333314418793, 0.9000037908554077, -0.032105352729558945, -0.6043112874031067]"
160,"[0.23359480500221252, -0.07900264114141464, 0.044677734375, -0.7968540787696838, -0.15156251192092896, 0.12642797827720642, -0.5792215466499329, 0.24494372308254242, 0.37908563017845154, -0.5408505797386169]"
170,"[0.6251276731491089, -0.045977164059877396, -0.35482609272003174, -1.0164318084716797, 0.3008260428905487, 0.016413042321801186, -0.2549796402454376, 0.0666750892996788, 0.039380766451358795, -0.8336503505706787]"
180,"[0.9337495565414429, 0.16704535484313965, -0.5620640516281128, -0.5211944580078125, 0.5559456944465637, -0.642178475856781, -0.02439381740987301, -0.5660341382026672, -0.14650870859622955, -0.9396103024482727]"
190,"[-0.06218763440847397, 1.2319056987762451, 0.6752556562423706, 0.051189325749874115, -0.7684911489486694, 0.15318450331687927, -0.38174620270729065, 0.1662161648273468, 0.5643254518508911, -1.3934249877929688]"
200,"[-0.26910242438316345, -0.13337312638759613, 0.4672367572784424, -0.04692654311656952, -1.2809877395629883, 0.022387970238924026, -1.6425119638442993, 1.0106123685836792, 0.2205297350883484, -0.23233835399150848]"
210,"[0.7580981254577637, 0.9154922962188721, 1.1132104396820068, -0.15078440308570862, -1.315407395362854, -0.4626898765563965, 0.1616475135087967, 0.2808581292629242, -0.1330832690000534, -0.9522162079811096]"
220,"[1.166562795639038, 0.2436254322528839, 0.2773491442203522, 0.19561396539211273, -0.09659130126237869, -0.47781112790107727, -0.2466614544391632, -0.12354543060064316, -0.15364578366279602, -0.2405930906534195]"
230,"[0.34519609808921814, 0.6074337363243103, -0.37939172983169556, -0.1661261022090912, -0.18948587775230408, 0.11625051498413086, -0.3221890330314636, 1.0774790048599243, 0.5299734473228455, -0.7253351211547852]"
240,"[0.5281723737716675, 0.0660933330655098, -0.4058721661567688, -0.5888193249702454, -1.0657559633255005, -0.04960811883211136, -1.3183691501617432, -0.5661369562149048, -0.15481434762477875, -0.8260554671287537]"
250,"[0.6998087167739868, -0.18465371429920197, 1.0773142576217651, -0.3937894105911255, -0.5619409084320068, -0.42668384313583374, -0.21891659498214722, -0.14894965291023254, -1.005722165107727, -0.714195966720581]"
260,"[0.18614211678504944, 0.4826614260673523, 0.2653638422489166, -0.42919307947158813, 0.32043781876564026, -0.9141088128089905, -0.3159548044204712, 0.5280381441116333, -0.26383456587791443, -0.7257653474807739]"
270,"[0.2503952980041504, -0.16059817373752594, 1.23390531539917, -0.5633015036582947, -0.12718038260936737, -0.3192870616912842, 0.3339024484157562, 0.7751491665840149, 0.17025057971477509, -0.6908720135688782]"
280,"[0.11971732974052429, 0.09566670656204224, -0.410683274269104, -0.18657726049423218, -0.12262344360351562, -0.38079923391342163, -0.16097994148731232, 0.7854605317115784, 0.3888932466506958, -0.9092479348182678]"
290,"[-0.01614909991621971, 0.3696061372756958, -0.08462695777416229, 0.3977053463459015, 0.29252153635025024, -0.7370895147323608, -0.4861909747123718, 0.43005645275115967, 0.09171804040670395, -0.8660514950752258]"
300,"[0.5146695971488953, 0.502608597278595, -0.3643709123134613, -0.03636963665485382, 0.35664284229278564, -0.29467877745628357, -0.31841909885406494, 0.8598350286483765, -0.06149227172136307, -0.6198709011077881]"
310,"[0.3068806529045105, 0.034168828278779984, -0.3192034661769867, -0.5218737125396729, -0.14667823910713196, -0.006626945920288563, -0.3516889810562134, -0.04695618525147438, -0.2983846068382263, -1.0340508222579956]"
320,"[0.34029972553253174, 0.5214435458183289, 1.3359642028808594, 0.4591447412967682, -0.9123232960700989, -0.8496826887130737, -0.032063402235507965, 1.640547275543213, -0.2620515823364258, -0.0563398152589798]"
330,"[1.1845437288284302, 0.11791360378265381, -0.41163212060928345, -0.3274746537208557, 0.12351282685995102, 0.2418343871831894, -0.42896768450737, 0.3726828694343567, 0.16517390310764313, -0.5854480862617493]"
340,"[0.2964923679828644, 0.5834292769432068, -0.7159926891326904, -0.5255875587463379, 0.38206997513771057, -0.43574613332748413, -0.18641942739486694, 1.1032233238220215, 0.022511372342705727, -0.09258832782506943]"
350,"[-0.06799034029245377, -0.0241291094571352, -0.16403356194496155, -0.3487773537635803, 0.004092507530003786, 0.024821627885103226, -0.4863012731075287, 0.7100163698196411, 0.07416266202926636, -0.9613898992538452]"
360,"[0.046355511993169785, -0.2101725935935974, 0.42769956588745117, -0.4457637071609497, -0.11370367556810379, 0.3199402689933777, -0.0913810059428215, 0.44504064321517944, 0.5208650827407837, -1.0660054683685303]"
370,"[1.0440568923950195, 0.5104490518569946, -0.27787360548973083, -0.6173880100250244, -0.4488268792629242, -0.21132390201091766, 0.07135120779275894, 0.7919466495513916, -0.144564688205719, -0.28377267718315125]"
380,"[0.16598036885261536, 0.21055053174495697, 0.15469495952129364, -0.6951452493667603, -0.06642623245716095, -0.42001768946647644, -0.08565868437290192, 0.4779196083545685, 0.10178256034851074, -0.8583272695541382]"
390,"[1.593149185180664, 0.9321233034133911, 0.06179475784301758, -0.26294058561325073, -0.05393097177147865, 0.3521437346935272, -0.14801186323165894, -0.09632044285535812, -0.15649902820587158, -1.0838842391967773]"
410,"[1.196406364440918, 0.7287701368331909, 0.2871569097042084, -0.392078161239624, -0.06131293624639511, 0.19425641000270844, -0.1474878340959549, 0.40604934096336365, 0.15248721837997437, -0.587948739528656]"
420,"[0.5289855003356934, -0.15367500483989716, 0.21269534528255463, -0.6797502040863037, -0.28961417078971863, -0.1198716014623642, -0.13286294043064117, 0.22293072938919067, 0.48939743638038635, -0.6670831441879272]"
430,"[-0.3448289930820465, -0.5169994235038757, -0.7029897570610046, -0.4888615310192108, -0.307463139295578, 0.5345078110694885, -0.5110265016555786, 0.6238425970077515, 0.22981597483158112, -1.0727794170379639]"
440,"[0.3014094829559326, 0.2732473611831665, 0.15248632431030273, -0.4549754858016968, 0.2271110713481903, -0.2893773019313812, 0.016014238819479942, 0.7842100858688354, 0.008330552838742733, -0.848256528377533]"
450,"[-0.00048772612353786826, -0.16841447353363037, -0.18328088521957397, -0.4406238794326782, -0.4269968271255493, -0.2524895966053009, -0.27716588973999023, 0.4386877119541168, 0.056834492832422256, -1.0911439657211304]"
460,"[-0.7761979699134827, -0.2185208648443222, -0.3044385313987732, -0.6886292695999146, 0.015659421682357788, 0.7062198519706726, -0.3933713138103485, 0.3704668879508972, 0.507963240146637, -1.234000325202942]"
470,"[0.4418826401233673, -0.4466659128665924, 0.6309017539024353, -0.25776171684265137, 0.10146192461252213, 0.16013196110725403, -0.6376359462738037, -0.280780553817749, -0.8188022375106812, -0.7455806732177734]"
480,"[0.12005109339952469, 0.11271008104085922, 0.1236468255519867, -0.7121827006340027, 0.16896727681159973, -0.534185528755188, -0.589572548866272, 0.4027104675769806, -0.1955491155385971, -0.6653855443000793]"
490,"[0.2597367465496063, -0.0702061727643013, -0.055458080023527145, -0.08595281094312668, 0.0870581716299057, -0.14927029609680176, -0.5128109455108643, 0.8992295265197754, 0.6669847369194031, -0.6975189447402954]"
500,"[0.2926304340362549, -0.10631456971168518, 0.050648123025894165, -0.4629761278629303, -0.022314272820949554, -0.09154310077428818, -0.09711684286594391, 0.9449743032455444, -0.1361633688211441, -0.7946605086326599]"
510,"[0.03524599224328995, 0.12451688200235367, -0.24344851076602936, -0.6424685716629028, -0.0029558613896369934, 0.6717105507850647, -0.6429144144058228, 0.3511155843734741, 0.5861430168151855, -1.041958212852478]"
520,"[1.0337095260620117, 0.2702887952327728, -0.22277489304542542, -0.8373947143554688, -0.21329466998577118, -0.11685896664857864, 0.4527527391910553, 0.25575536489486694, 0.14974769949913025, -0.7628162503242493]"
530,"[0.22526733577251434, 0.4201538562774658, 0.012990088202059269, -0.3819403350353241, 0.4371323883533478, -0.2620641589164734, -0.3201150894165039, 0.505263090133667, -0.15971259772777557, -0.8121417760848999]"
540,"[0.3792838156223297, -0.5093958377838135, -0.21986700594425201, -0.02027168497443199, -0.2793472409248352, 0.12753166258335114, -0.4700453281402588, 0.628303587436676, 0.27224719524383545, -0.719606876373291]"
550,"[-0.2003209888935089, -0.0037093444261699915, -1.1380962133407593, -0.17049774527549744, -0.05349673703312874, -0.026257028803229332, -0.5666968822479248, -0.09909236431121826, -0.45775118470191956, -1.3413941860198975]"
560,"[-0.230801522731781, -0.6511427164077759, -0.07002569735050201, 0.39540404081344604, 0.01717340759932995, -1.648940086364746, -0.5570149421691895, 0.19543972611427307, 0.5255754590034485, -0.7909936308860779]"
570,"[-0.24660718441009521, 0.5652087330818176, -0.8112854361534119, 0.05815581604838371, 0.2840116620063782, 0.2505243122577667, -0.31757235527038574, 0.9155315160751343, -1.099220633506775, -1.029540777206421]"
580,"[1.0115160942077637, 0.6047911643981934, -0.20051848888397217, -0.6145233511924744, 0.5347974300384521, -0.12955614924430847, 0.023815900087356567, 0.7598079442977905, 0.7262780666351318, -0.21816767752170563]"
590,"[-0.006415674462914467, 0.12663225829601288, -0.2439541220664978, -0.45584747195243835, 0.34531959891319275, -0.39949455857276917, -0.3369326889514923, 0.837308406829834, -0.09808286279439926, -0.7610810995101929]"
600,"[0.30384573340415955, 0.47529831528663635, 0.7305106520652771, -0.8628631234169006, -0.2505272924900055, -0.25922903418540955, -0.31446751952171326, -0.5849084258079529, 0.936456024646759, -1.1274935007095337]"
610,"[-0.032616373151540756, 0.29040631651878357, 0.09858080744743347, -0.344844788312912, -0.20597253739833832, -0.35885095596313477, -0.28967586159706116, -0.21763430535793304, 0.3801480829715729, -1.3905553817749023]"
630,"[1.5234975814819336, 0.9545987248420715, -0.8461479544639587, -0.30910858511924744, -1.799587607383728, -0.03889680281281471, -0.9458110332489014, 1.5206732749938965, 1.5511510372161865, 0.35500001907348633]"
640,"[0.77690589427948, 0.241948202252388, 0.19848868250846863, -0.3047223687171936, -0.09477424621582031, -0.03748934343457222, -1.2763829231262207, 0.21871796250343323, 0.8675227761268616, -0.20126581192016602]"
650,"[0.6904585957527161, 0.0022770084906369448, -0.5867173075675964, -0.3590543866157532, 0.6088012456893921, -0.08481620252132416, -0.31768736243247986, 1.314344048500061, 0.8951212763786316, -0.22349606454372406]"
660,"[0.10346350073814392, -0.4035395085811615, 0.014854801818728447, -0.4733640253543854, 0.13862942159175873, -0.23786228895187378, 0.029763510450720787, 0.16861361265182495, 0.07545207440853119, -0.2511269450187683]"
670,"[0.059515900909900665, 0.0887681245803833, 1.071110486984253, 0.7637260556221008, 0.7446618676185608, -0.7326201796531677, -0.7255571484565735, 0.30831536650657654, -1.2103559970855713, -1.0593454837799072]"
680,"[0.380186527967453, 1.0153700113296509, 0.5125479102134705, 0.2480355054140091, 0.199900284409523, 0.3034447729587555, -0.3991115391254425, -0.5486029982566833, 0.42615556716918945, -1.569417953491211]"
690,"[0.026806488633155823, 0.016633929684758186, 0.21543754637241364, 0.03245176002383232, -0.19908282160758972, -0.509274423122406, -0.34725674986839294, 0.44095224142074585, 0.22040428221225739, -0.5912231206893921]"
700,"[0.9589255452156067, 0.1618725210428238, -0.0722360834479332, -0.031517144292593, -0.017091138288378716, 0.12176015973091125, -0.17738579213619232, 0.3378502428531647, -0.6959293484687805, -1.1275852918624878]"
710,"[0.8280512690544128, 0.12200012803077698, -0.2613118290901184, -0.5838565826416016, 0.05285719409584999, 0.7631925344467163, -0.6795281767845154, 0.6272926926612854, 0.14086945354938507, -0.5731679201126099]"
720,"[0.5377373695373535, 0.7198671698570251, 0.21359089016914368, -0.1449826955795288, 0.694015622138977, -0.38619351387023926, 0.09444019198417664, 0.47889426350593567, -0.08093338459730148, -1.0560929775238037]"
730,"[0.16409608721733093, 0.10720107704401016, 0.06288482248783112, 0.041668545454740524, 0.023623991757631302, -0.0814928263425827, -0.10684893280267715, 0.05524727329611778, -0.011612516827881336, -0.26091083884239197]"
750,"[0.3869437277317047, 0.8589779734611511, 0.2245294451713562, 0.18961107730865479, 0.3015393614768982, -0.6154603362083435, -0.5582900047302246, 0.5574378371238708, 0.03034437820315361, -0.7689026594161987]"
760,"[0.34857305884361267, 1.670383334159851, -1.063670039176941, -0.8594551682472229, 0.00503490399569273, -1.2100059986114502, 1.0192205905914307, 1.0322551727294922, -0.016197793185710907, 0.13185817003250122]"
780,"[0.2154979407787323, -0.24851283431053162, 0.1967015415430069, -0.886250376701355, 0.1420760154724121, -0.5967353582382202, -0.1289518177509308, 0.35070809721946716, 0.1566006988286972, -0.7065120935440063]"
790,"[0.1111612319946289, -0.2012190967798233, 0.005335359834134579, -0.2861294746398926, -0.014664738439023495, -0.36682164669036865, -0.1271987110376358, 0.3438813388347626, 0.0840270146727562, -0.553866982460022]"
800,"[0.5345234870910645, 0.7456187605857849, 0.31251466274261475, 0.19810838997364044, 0.3642977774143219, -0.40899166464805603, -0.17161177098751068, 0.7923768758773804, 0.5628710985183716, -0.7360680103302002]"
810,"[0.318280428647995, 0.2549533247947693, -0.011542941443622112, -0.6441609859466553, -0.008838962763547897, 0.1625850945711136, -0.6403790712356567, 0.3226650357246399, -0.08252159506082535, 0.0211294274777174]"
820,"[0.35744255781173706, 0.08184456080198288, 0.4944126605987549, 1.504987359046936, 0.20618388056755066, -0.4557410776615143, -0.7579341530799866, 1.0678361654281616, -0.3672880530357361, -0.5405141115188599]"
830,"[0.19013842940330505, 0.052013855427503586, 0.31578102707862854, -0.5028397440910339, 0.029313111677765846, 0.3756289780139923, 0.004876355640590191, 0.4361794590950012, -0.08286207914352417, -1.179469108581543]"
840,"[0.8328238725662231, -0.7180756330490112, 0.37076064944267273, -0.311302125453949, -0.1823587417602539, 0.28899797797203064, -0.01513588149100542, -0.005801953841000795, -0.6641458868980408, -1.2604061365127563]"
850,"[0.6842760443687439, 1.0494129657745361, -0.6752927303314209, 0.44247981905937195, -0.7407782673835754, -1.3945050239562988, 0.24157463014125824, 0.230874702334404, 0.32526394724845886, -0.7589206099510193]"
860,"[-0.2265137881040573, 1.7057305574417114, -1.0744044780731201, -1.5948601961135864, -0.6219562292098999, -1.1351007223129272, 0.21663591265678406, 0.12544578313827515, 0.41544124484062195, -0.4649111330509186]"
