id,post_title,word2vec
78,JavaScript对Select的子元素Option的操作,"[-0.06689483870158566,-0.31063375444468727,0.09132219613580914,-0.2524164506121651,0.2576837945949532]"
83,当用header方法输出内容时出现“Cannot modify header information - headers already sent by”的解决方法,"[-0.09172025156525396,0.009816996645318663,0.19234123595467792,0.20329144122306167,0.11286570988141183]"
85,linux下禁止机箱蜂鸣方法,"[-0.09057465753391046,0.004765861371362751,0.24302226597633722,0.1654780033594844,0.12196611434178935]"
87,硬盘分区表丢失、修复大事记--分区表修复利器testdisk,"[-0.08822793992182527,0.008368383856377677,0.2222492791728915,0.24705431208137302,0.057968954511554815]"
91,vi编辑器命令,"[-0.15784577189545987,-0.05017760600606227,0.2566893712526797,0.21462042486723676,0.24651513690030022]"
94,搜索关键词高亮显示,"[-0.0774680015497974,-0.06998491222038865,0.1456024130939373,0.19361487458060894,0.1600768660727356]"
97,PHP IE下载时提示”无法复制 无法读取源文件或磁盘”的解决办法,"[-0.10361969807947223,-0.13601442934860558,0.15307295016775077,0.054792527244849634,0.07688310139558531]"
99,PHP中文乱码解决,"[0.014912483294778803,-0.14563835074969225,0.06904519930826265,-0.07077249503369686,0.1638288319528922]"
103,文件下载代码-来自PBDigg,"[0.11090262044025094,-0.22019243716862738,-0.18691955099960691,-0.2696338962812565,0.15792990766073528]"
105,PHP安全笔记,"[-0.027503433840624262,-0.025421138406898674,0.1950168905338261,0.08486184105833726,0.1964176791025957]"
107,PHP输出Excel实例代码,"[0.006646261996378735,0.018643715951804793,0.017522777308669284,-0.08357120092127929,0.4793791268309161]"
109,java环境变量配置,"[-0.06795292043715144,-0.014919017836703055,0.3782514258802794,0.16717324543567577,0.019993186473717273]"
111,AJAX中文乱码PHP完美解决(IE和Firefox兼容),"[-0.08662275132603305,-0.006745201782554378,0.17572067795576024,0.21306370056469004,0.07163595653016709]"
113,phpmyadmin无法加载mcrypt的解决方法,"[-0.13078003186241,-0.0012581443403744035,0.35061575156740016,0.278631443625523,0.14020800061213473]"
115,删除记录之前-切记要检查是不是存在该记录,"[-0.07693714092430823,0.048366354002306856,0.23888088317186223,0.2833417915720858,0.14820240072759927]"
117,项目经历2-电子台账系统,"[-0.09504092416730446,0.016104590753971967,0.23253638857870168,0.2736950964125462,0.01800253169879071]"
119,日期选择控件-date_input,"[0.013601770814459182,-0.10380845916408457,0.017750101776695563,-0.24197460599488724,0.1414722432995117]"
122,PHP只下载不打开文件,"[-0.07606306437695964,-0.1283357733480627,0.21391324161844893,0.0752461195852754,0.09918283757732742]"
124,Javascript trim()函数实现,"[-0.03881112762118719,-0.1583635017496946,0.003356642629866186,-0.13035800604821612,0.24656374846929555]"
126,PHP获取IP的多种方式解析,"[-0.2190547425805269,-0.4183201976870827,0.09550073465235284,-0.5159544534937113,0.38259390625557577]"
128,PHP删除无限分类并同时删除它下面的所有子分类的方法,"[0.0724399681246587,-0.19477680243690992,0.15463310277968575,-0.12673331591709752,0.3178834755443663]"
130,PHP-非常好用的文件操作类,"[0.16351887983196015,-0.07599915628930337,-0.04452026719886566,-0.24593278797923787,0.37705045232886936]"
132,屏幕取色工具,"[-0.059151967987418175,-0.002380737537433478,0.11506515969945626,0.10861560685390777,0.027099104428833183]"
134,网上选课系统-进度,"[-0.08126689750418004,0.015333820498978213,0.19656202966363293,0.2575741658072991,0.00625086981729391]"
136,php实现当前用户在线人数,"[-0.08778655787401304,-0.1931247867039732,0.07096557769723036,-0.14760508091264482,0.2944334781049071]"
