id,post_title,words
78,JavaScript对Select的子元素Option的操作,javascript select 元素 option 操作 javascript 删除 所有 select 下面 option 方法 增加 之前 删除 所有 optionwhile length var length document getelementbyid courseorder options length for var length ++ document getelementbyid courseorder options remove length length cdata syntaxhighlighter config clipboardswf http crazyant net js code clipboard swf syntaxhighlighter all javascript 创建 一个 option 节点 op document createelement option op value 表明 没有 安排 科次 te document createtextnode 没有 安排 课次 op appendchild te document getelementbyid courseorder appendchild op cdata syntaxhighlighter config clipboardswf http crazyant net js code clipboard swf syntaxhighlighter all
83,当用header方法输出内容时出现“Cannot modify header information - headers already sent by”的解决方法,当用 header 方法 输出 内容 出现 cannot modify header information headers already sent by 解决 方法 解决 方法 使用 ultraeditor 打开 文件 然后 变成 utf 编码 发现 文件 前面 乱码 删掉 即可 使用 dreamweaver 文件 格式化 功能 文件 格式化 一下 ok
85,linux下禁止机箱蜂鸣方法,linux 禁止 机箱 蜂鸣 方法 图像 界面 注意 图形界面 即使 图像 界面 快捷键 出现 虚拟 终端 xset off 命令 关闭 鸣声 纯粹 终端 inittab 启动 级别 第三 级别 时候 出现 终端 setterm blength 即可 以上 两个 命令 可以 直接 加入 etc bashrc 永久 生效
87,硬盘分区表丢失、修复大事记--分区表修复利器testdisk,硬盘分区 丢失 修复 大事记 -- 分区表 修复 利器 testdisk 今天 2009 11 14 刚才 找回 几天 丢失 分区表 硬盘分区 特此 记录 事件 起因 几天 我用 疯狂 下载 东西 时候 突然 出现 硬盘 扇区 定位 错误 以为 没什么 问题 强制 继续 下载 结果 第二天 电脑 发现 电脑 启动 直接 蓝屏 进不了 xp 然后 试着 多次 重启 结果 出现 xp 欢迎 界面 立刻 变成 蓝屏 事件 发展 根据 以往 习惯 或者说 经验 选择 直接 重装系统 ghost xp 盘装 几分钟 装好 然后 重启 欢迎 界面 蓝屏 至此 猜测 也许 电脑 什么 问题 ghost 盘装 进去 换成 ghost 系统 检测 硬件 最后 给出 无法 找到 安装 系统 硬盘 事件 二度 发展 这个 时候 知道 这个 硬盘 问题 于是 问题 交换 进入 系统 发现 资源管理 里面 已经 看不到 分区 同时 进入 计算机管理 磁盘 管理 仍然 看不到 分区 硬盘 直接 反应 垃圾 然后 网上 搜索 坏消息 竟然 找出 一些 一直 好感 自信 心里 想着 硬盘 硬件 问题 估计 返厂 修理 可怜 资料 事件 转机 关掉 电脑 起来 硬件 管理 里面 不能 看到 于是 重新 打开 电脑 打开 计算机 硬件 管理 终于 一个 惊喜 硬件 管理 里面 看到 然后 推测 是不是 硬盘 于是 打开 发现 没有 坏道 竟然 健康 度为 其中 经过 一番 折腾 最后 认为 分区表 丢失 回到 正确轨道 怎么 这么 于是 上网 搜集 分区表 修复 软件 下载 分区表 医生 直接 开始 修复 扫描 最后 时候 发现 进行 下去 这才 起来 我新盘 地方 没有 格式化 不会 进行 扫描 发现 真是 这个 软件 失败 网上 看到 一个 软件 救星 扫描 扫描 考研 时间 几次 扫到 一半 关机 下次 回来 继续 扫描 终于 一天 挂机 一天 晚上 回来 一看 于是 一番 不停 折腾 最后 今晚 发现 testdisk 不用 全部 扫描 找到 所有 分区 同时 注意 分区 标志 一定 设置 就是 primary deleted logical 几个 标志 位要 设置 然后 重启 可以 本次 事件 总结 testdisk 一个 非常 软件 真的 很棒 允许 扫描 结果 直接 可以 操作 这是 ptdd 没有 功能 所以 分区表 丢失 修复 必然 要用 testdisk 不用 等到 扫描 出现 分区 扫出来 分区 标志 一定 设置 即主 分区 还是 逻辑 分区 这样 才能 完整 系统 恢复 下次 遇见 硬盘分区 不见 或者 磁盘 管理 看不到 或者 磁盘 问题 打不开 试一试 testdisk 因为 出现 分区 不见 情况 可能 磁盘 坏道 这类 故障 能干 出来
91,vi编辑器命令,vi 编辑器 命令 vi 编辑器 文字说明 模式 命令 模式 编辑 模式 末行 模式 切换 方式 命令 模式 编辑 模式 编辑 模式 esc 命令 模式 命令 模式 末行 模式 功能 命令 模式 command mode 控制 光标 移动 删除 字符 段落 复制 编辑 模式 insert mode 新增 文字 修改 文字 末行 模式 last line mode 保存 文件 离开 vi 以及 其他 设置 命令 模式 命令 命令 说明 光标 移动 一格 光标 移动 一格 光标 向下 移动 一格 光标 向上 移动 一格 数字 光标 移动 该行 行首 光标 移动 该行 行末 光标 移动 屏幕 顶端 光标 移动 屏幕 中间 光标 移动 屏幕 底端 gg 光标 移动 文章 首行 光标 移动 文章 尾行 光标 移动 单词 删除 光标 所在 字符 删除 光标 字符 dd 删除 光标 所在 dd 光标 所在 向下 删除 数字 删除 光标 所在 行尾 取代 光标 一个 字符 光标 处向 替换 esc 结束 取消 上步 操作 取消 目前 所有 操作 yy 复制 光标 所在 复制 内容 放在 光标 所在 下行 编辑 模式 命令 命令 说明 光标 插入 文本 光标 所在 行后 插入 文本 光标 插入 文本 光标 所在 行前 插入 文本 光标 所在 行下 插入 小写字母 光标 所在 行上 插入 大写字母 末行 命令 命令 说明 创建 文件 加载 文件 保存 文件 强行 操作 强行 保存 文件 退出 强行 退出 wq 保存 退出 wq 强行 保存 退出 set nu 显示 行号 set nonu 显示 行号 搜索 任意 字符串
94,搜索关键词高亮显示,搜索 关键词 高亮 显示 一个 搜索 页面 时候 经常 需要 输入 搜索 关键词 高亮 红色 标记 出来 js 方便 实现 一点 jquery 方便 就是 这么 div rest html function return this html replace php echo request search keyword span class red php echo request search keyword span 看到 前面 选择 替换 然后 正则表达式 搜索 关键词 一个 span class red span 这样 样式 标签 然后 整个 里面 关键词 高亮 方便 一句
97,PHP IE下载时提示”无法复制 无法读取源文件或磁盘”的解决办法,php ie 下载 提示 无法 复制 无法 读取 源文件 磁盘 解决办法 之前 一篇 php 下载 指定 文件 今天 终于 遇到 一个 问题 ie 另存 下载 提示 无法 复制 无法 读取 源文件 磁盘 一步 一步 调式 发现 header 报错 因为 测试 php html 混合 之前 没有 任何 输出 就是 报错 费大劲 解决 这个 问题 php html 代码 之间 加个 空行 header 报错 但是 ie 无法 另存 照样 出现 仔细检查 代码 尝试 任何 可能性 试对 解决办法 找到 代码 header content type application octet stream 修改 header content type application octet stream charset utf8 cdata syntaxhighlighter config clipboardswf http crazyant net js code clipboard swf syntaxhighlighter all ok 可以 正常 下载 做个 记录
99,PHP中文乱码解决,php 中文 乱码 解决 网上 转载 但是 代码 完全 补充 再发 通过 content type 设置 application octet stream 可以 动态 生成 内容 当作 文件 下载 相信 这个 大家 那么 content disposition 设置 下载 文件名 这个 不少 知道 基本上 下载 程序 这么 php filename document txt header content type application octet stream header content disposition attachment filename filename print hello 这样 浏览器 打开 之后 可以 下载 document txt 但是 如果 filename utf 编码 有些 浏览器 无法 正常 处理 比如 上面 那个 程序 稍稍 一下 php filename 中文 文件名 txt header content type application octet stream header content disposition attachment filename filename print hello 程序 保存 utf 编码 访问 ie6 下载 文件名 乱码 ff3 下载 文件名 只有 中文 两个 opera 一切正常 输出 header 实际上 样子 content disposition attachment filename 中文 文件名 txt cdata syntaxhighlighter config clipboardswf http crazyant net js code clipboard swf syntaxhighlighter all 其实 按照 rfc2231 定义 语言 编码 content disposition 应该 这么 定义 content disposition attachment filename utf8 b6% e5% 90% 8d txt cdata syntaxhighlighter config clipboardswf http crazyant net js code clipboard swf syntaxhighlighter all filename 后面 之前 要加 filename 值用 单引号 分成 三段 分别 字符集 utf8 语言 urlencode 文件名 最好 加上 双引号 否则 文件名 空格 后面 部分 firefox 显示 出来 注意 urlencode 结果 php urlencode 函数 结果 不太 相同 php urlencode 空格 替换成 这里 需要 替换成 20 经过 试验 发现 几种 主流 浏览器 支持 情况 如下 ie6 attachment filename url 编码 之后 utf 文件名 ff3 attachment filename utf 文件名 attachment filename utf8 url 编码 之后 utf 文件名 opera9 attachment filename utf 文件名 safari3 win 貌似 支持 上述 方法 不行 这样 看来 程序 必须 这样 才能 支持 所有 主流 浏览器 以下 代码 适用 页面 utf 编码 情况 不是 iconv 文件名 转码 php filename 中文 文件名 txt encoded filename urlencode filename encoded filename str replace 20 encoded filename ua server http user agent header content type application octet stream if preg match msie ua header content disposition attachment filename encoded filename else if preg match firefox ua header content disposition attachment filename utf8 filename else header content disposition attachment filename filename print abc cdata syntaxhighlighter config clipboardswf http crazyant net js code clipboard swf syntaxhighlighter all
103,文件下载代码-来自PBDigg,文件 下载 代码 来自 pbdigg disposition isimg attachmentpath inline attachment db charset utf && attdata filename convert encoding utf gbk attdata filename strpos server http user agent msie false && attdata filename urlencode attdata filename header cache control max age 31536000 header expires gmdate timestamp 31536000 gmt header last modified gmdate attdata uploaddate gmt header content type attdata filetype header content encoding none header content disposition disposition filename attdata filename header content length filesize attachmentpath header content transfer encoding binary readfile attachmentpath cdata syntaxhighlighter config clipboardswf http crazyant net js code clipboard swf syntaxhighlighter all
105,PHP安全笔记,php 安全 笔记 magic quotes 选项 php ini 中中 三个 magic quotes 开头 选项 magic quotes gpc 如果 on 的话 自动 转义 get post cookie 数据 这是 为什么 我们 url 输入 show tables -- 有时候 失败 原因 因为 转义 magic quotes runtime 如果 on 自动 转义 来自 数据库 字符串 数据 magic quotes sybase 会用 单引号 代替 斜杠 转义 我们 可以 使用 addslashes 函数 达到 同样 目的 不过 有时候 得用 stripslashes 取消 转义 php 命令 执行 函数 system 执行 一个 外部 应用程序 显示 输出 结果 exec 执行 一个 外部 应用程序 passthru 执行 一个 unix 系统命令 返回 原始 输出 shell exec 执行 shell 命令 返回 输出 字符串 运算符 shell exec 功能 相同 system 举例 列出 c盘 内容 phpecho pre last line system dir retval echo pre echo 命令 输出 最后 一行 last line br echo 命令 返回值 retval exec 执行 外部 应用程序 列出 c盘 内容 php output array echo pre last line exec dir output echo pre while list key value each output echo value br echo 命令 输出 最后 一行 last line br echo 命令 返回值 retval string shell exec string cmd phpecho pre output shell exec dir echo pre echo nl2br output br phpecho pre output dir echo pre echo nl2br output br eval 函数 攻击 下面 例子 我换 参数 system dir 执行 失败 是因为 php ini magic quotes for incoming get post cookie data magic quotes gpc on 这句 导致 system 括号 双引号 转义 导致 执行 失败 php myvar varname if isset get arg arg get arg arg 参数 可以 替换成 system 造成 命令 注入 攻击 eval myvar arg eval 能够 执行 里面 字符串 php 代码 echo myvar myvar 防范 命令 注入 攻击 eval 注入 攻击 方法 使用 函数 escateshellarg 函数 过滤 传来 字符串 参数 即可 客户端 脚本 攻击 sql insertion 客户端 脚本 攻击 就是 用户 留言板 框内 输入 js 脚本 然后 别人 中招 解决 方法 就是 html 输出 过滤 php 中有 两种 方法 可以 进行 html 输出 过滤 使用 strip tags 删除 字符串 php html 标签 使用 htmlspecialchars 函数 来讲 特殊字符 转换成 html 编码 不是 执行 这是 解决 问题 最佳 方法 网站 脚本 攻击 xss 解决 方法 简单 仍然 使用 htmlspecialchars 来自 url 参数 过滤 一下 即可 这样 不让 来自 url js 代码执行 ok 如果 表单 中用 action server php self 或者 action script name 时候 xss 注入 解决 方法 action 后面 url 加上 htmlspecialchars 过滤 action 写成 action 默认 提交 自身 页面 所以 必要 情况 用于 表单 自身 处理 情况 sql 注入 攻击 防御 方法 如果 确定 整数 intval 过滤 参数 如果 确定 浮点数 floatval doubleval 函数 过滤 如果 字符串 addslashes 函数 单引号 双引号 斜杠 null 字符 转义 注意 php ini magic quotes gpc 如果 on 那么 字符串 引号 自动 加上 斜杠 转义 那么 如果 我们 加上 addslashes 函数 两个 斜杠 使得 sql 语句 出现 一个 斜杠 执行 会出 错误 解决 方法 使用 get magic quotes gpc 判断 是不是 该值 设置 on 如果 on 返回 如果 offf 返回
