MovieID,Title,Genres,MovieID_idx,Genres_idx
1,Toy Story (1995),Comedy,0,0
2,Jumanji (1995),Adventure,1,1
3,Grumpier Old Men (1995),Comedy,2,0
4,Waiting to Exhale (1995),Drama,3,2
5,Father of the Bride Part II (1995),Comedy,4,0
6,Heat (1995),Action,5,3
7,Sabrina (1995),Comedy,6,0
8,Tom and Huck (1995),Adventure,7,1
9,Sudden Death (1995),Action,8,3
10,GoldenEye (1995),Action,9,3
11,"American President, The (1995)",Drama,10,2
12,Dracula: Dead and Loving It (1995),Comedy,11,0
13,Balto (1995),Children's,12,4
14,Nixon (1995),Drama,13,2
15,Cutthroat Island (1995),Action,14,3
16,Casino (1995),Drama,15,2
17,Sense and Sensibility (1995),Drama,16,2
18,Four Rooms (1995),Thriller,17,5
19,Ace Ventura: When Nature Calls (1995),Comedy,18,0
20,Money Train (1995),Action,19,3
21,Get Shorty (1995),Drama,20,2
22,Copycat (1995),Drama,21,2
23,Assassins (1995),Thriller,22,5
24,Powder (1995),Drama,23,2
25,Leaving Las Vegas (1995),Drama,24,2
26,Othello (1995),Drama,25,2
27,Now and Then (1995),Drama,26,2
28,Persuasion (1995),Romance,27,6
29,"City of Lost Children, The (1995)",Adventure,28,1
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,29,2
31,Dangerous Minds (1995),Drama,30,2
32,Twelve Monkeys (1995),Drama,31,2
33,Wings of Courage (1995),Romance,32,6
34,Babe (1995),Drama,33,2
35,Carrington (1995),Drama,34,2
36,Dead Man Walking (1995),Drama,35,2
37,Across the Sea of Time (1995),Documentary,36,7
38,It Takes Two (1995),Comedy,37,0
39,Clueless (1995),Comedy,38,0
40,"Cry, the Beloved Country (1995)",Drama,39,2
41,Richard III (1995),Drama,40,2
42,Dead Presidents (1995),Drama,41,2
43,Restoration (1995),Drama,42,2
44,Mortal Kombat (1995),Action,43,3
45,To Die For (1995),Drama,44,2
46,How to Make an American Quilt (1995),Drama,45,2
47,Seven (Se7en) (1995),Thriller,46,5
48,Pocahontas (1995),Romance,47,6
49,When Night Is Falling (1995),Drama,48,2
50,"Usual Suspects, The (1995)",Thriller,49,5
51,Guardian Angel (1994),Drama,50,2
52,Mighty Aphrodite (1995),Comedy,51,0
53,Lamerica (1994),Drama,52,2
54,"Big Green, The (1995)",Comedy,53,0
55,Georgia (1995),Drama,54,2
56,Kids of the Round Table (1995),Adventure,55,1
57,Home for the Holidays (1995),Drama,56,2
58,"Postino, Il (The Postman) (1994)",Drama,57,2
59,"Confessional, The (Le Confessionnal) (1995)",Drama,58,2
60,"Indian in the Cupboard, The (1995)",Adventure,59,1
61,Eye for an Eye (1996),Drama,60,2
62,Mr. Holland's Opus (1995),Drama,61,2
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,62,0
64,Two if by Sea (1996),Comedy,63,0
65,Bio-Dome (1996),Comedy,64,0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Thriller,65,5
67,Two Bits (1995),Drama,66,2
68,French Twist (Gazon maudit) (1995),Comedy,67,0
69,Friday (1995),Comedy,68,0
70,From Dusk Till Dawn (1996),Comedy,69,0
71,Fair Game (1995),Action,70,3
72,Kicking and Screaming (1995),Drama,71,2
73,"Mis�rables, Les (1995)",Drama,72,2
74,Bed of Roses (1996),Drama,73,2
75,Big Bully (1996),Drama,74,2
76,Screamers (1995),Thriller,75,5
77,Nico Icon (1995),Documentary,76,7
78,"Crossing Guard, The (1995)",Drama,77,2
79,"Juror, The (1996)",Drama,78,2
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,79,2
81,Things to Do in Denver when You're Dead (1995),Drama,80,2
82,Antonia's Line (Antonia) (1995),Drama,81,2
83,Once Upon a Time... When We Were Colored (1995),Drama,82,2
84,Last Summer in the Hamptons (1995),Drama,83,2
85,Angels and Insects (1995),Drama,84,2
86,White Squall (1996),Drama,85,2
87,Dunston Checks In (1996),Comedy,86,0
88,Black Sheep (1996),Comedy,87,0
89,Nick of Time (1995),Action,88,3
90,"Journey of August King, The (1995)",Drama,89,2
92,Mary Reilly (1996),Drama,90,2
93,Vampire in Brooklyn (1995),Comedy,91,0
94,Beautiful Girls (1996),Drama,92,2
95,Broken Arrow (1996),Action,93,3
96,In the Bleak Midwinter (1995),Comedy,94,0
97,"Hate (Haine, La) (1995)",Drama,95,2
98,Shopping (1994),Action,96,3
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,97,7
100,City Hall (1996),Drama,98,2
101,Bottle Rocket (1996),Comedy,99,0
102,Mr. Wrong (1996),Comedy,100,0
103,Unforgettable (1996),Thriller,101,5
104,Happy Gilmore (1996),Comedy,102,0
105,"Bridges of Madison County, The (1995)",Drama,103,2
106,Nobody Loves Me (Keiner liebt mich) (1994),Drama,104,2
107,Muppet Treasure Island (1996),Comedy,105,0
108,Catwalk (1995),Documentary,106,7
109,Headless Body in Topless Bar (1995),Comedy,107,0
110,Braveheart (1995),Drama,108,2
111,Taxi Driver (1976),Drama,109,2
112,Rumble in the Bronx (1995),Action,110,3
113,Before and After (1996),Drama,111,2
114,Margaret's Museum (1995),Drama,112,2
115,Happiness Is in the Field (1995),Comedy,113,0
116,Anne Frank Remembered (1995),Documentary,114,7
117,"Young Poisoner's Handbook, The (1995)",Crime,115,8
118,If Lucy Fell (1996),Comedy,116,0
119,"Steal Big, Steal Little (1995)",Comedy,117,0
120,Race the Sun (1996),Drama,118,2
121,"Boys of St. Vincent, The (1993)",Drama,119,2
122,Boomerang (1992),Comedy,120,0
123,Chungking Express (1994),Drama,121,2
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,122,2
125,Flirting With Disaster (1996),Comedy,123,0
126,"NeverEnding Story III, The (1994)",Adventure,124,1
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,125,2
128,Jupiter's Wife (1994),Documentary,126,7
129,Pie in the Sky (1995),Comedy,127,0
130,Angela (1995),Drama,128,2
131,Frankie Starlight (1995),Drama,129,2
132,Jade (1995),Thriller,130,5
133,Nueba Yol (1995),Drama,131,2
134,Sonic Outlaws (1995),Documentary,132,7
135,Down Periscope (1996),Comedy,133,0
136,From the Journals of Jean Seberg (1995),Documentary,134,7
137,Man of the Year (1995),Documentary,135,7
138,"Neon Bible, The (1995)",Drama,136,2
139,Target (1995),Drama,137,2
140,Up Close and Personal (1996),Drama,138,2
141,"Birdcage, The (1996)",Comedy,139,0
142,Shadows (Cienie) (1988),Drama,140,2
143,Gospa (1995),Drama,141,2
144,"Brothers McMullen, The (1995)",Comedy,142,0
145,Bad Boys (1995),Action,143,3
146,"Amazing Panda Adventure, The (1995)",Adventure,144,1
147,"Basketball Diaries, The (1995)",Drama,145,2
148,"Awfully Big Adventure, An (1995)",Drama,146,2
149,Amateur (1994),Drama,147,2
150,Apollo 13 (1995),Drama,148,2
151,Rob Roy (1995),Drama,149,2
152,"Addiction, The (1995)",Horror,150,9
153,Batman Forever (1995),Comedy,151,0
154,Belle de jour (1967),Drama,152,2
155,Beyond Rangoon (1995),Drama,153,2
156,Blue in the Face (1995),Comedy,154,0
157,Canadian Bacon (1994),Comedy,155,0
158,Casper (1995),Adventure,156,1
159,Clockers (1995),Drama,157,2
160,Congo (1995),Action,158,3
161,Crimson Tide (1995),Drama,159,2
162,Crumb (1994),Documentary,160,7
163,Desperado (1995),Action,161,3
164,Devil in a Blue Dress (1995),Thriller,162,5
165,Die Hard: With a Vengeance (1995),Action,163,3
166,"Doom Generation, The (1995)",Drama,164,2
167,Feast of July (1995),Drama,165,2
168,First Knight (1995),Drama,166,2
169,Free Willy 2: The Adventure Home (1995),Drama,167,2
170,Hackers (1995),Action,168,3
171,Jeffrey (1995),Comedy,169,0
172,Johnny Mnemonic (1995),Action,170,3
173,Judge Dredd (1995),Action,171,3
174,Jury Duty (1995),Comedy,172,0
175,Kids (1995),Drama,173,2
176,Living in Oblivion (1995),Comedy,174,0
