movie_id,movie_embedding
1,"0.0,0.0,0.80466634,0.0,1.3142264,0.0,0.0,0.0"
2,"0.0,0.0,0.224655,0.0,0.8400048,0.0,0.0,0.0"
3,"0.0,0.0,0.17916784,0.0,0.79720753,0.0,0.0,0.0"
4,"0.0,0.0,0.0,0.0,0.55387646,0.0,0.0,0.0"
5,"0.0,0.0,0.065912835,0.0,0.68349266,0.0,0.0,0.0"
6,"0.0,0.0,0.6573751,0.0,1.1912555,0.0,0.0,0.0"
7,"0.0,0.0,0.09377471,0.0,0.7079308,0.0,0.0,0.0"
8,"0.0,0.0,0.030231846,0.0,0.6400392,0.0,0.0,0.0"
9,"0.0,0.0,0.09816758,0.0,0.716013,0.0,0.0,0.0"
10,"0.0,0.0,0.36380288,0.0,0.9523806,0.0,0.0,0.0"
11,"0.0,0.0,0.50569135,0.0,1.0838733,0.0,0.0,0.0"
12,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
13,"0.0,0.0,0.3229176,0.0,0.92490375,0.0,0.0,0.0"
14,"0.0,0.0,0.3442601,0.0,0.9481257,0.0,0.0,0.0"
15,"0.0,0.0,0.0,0.0,0.15065548,0.0,0.0,0.0"
16,"0.0,0.0,0.6443527,0.0,1.1946344,0.0,0.0,0.0"
17,"0.0,0.0,0.87129986,0.0,1.3802478,0.0,0.0,0.0"
18,"0.0,0.0,0.2718405,0.0,0.8828903,0.0,0.0,0.0"
19,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
20,"0.0,0.0,0.0,0.0,0.28503922,0.0,0.0,0.0"
21,"0.0,0.0,0.36716166,0.0,0.96899843,0.0,0.0,0.0"
22,"0.0,0.0,0.116065994,0.0,0.7200478,0.0,0.0,0.0"
23,"0.0,0.0,0.0,0.0,0.59122497,0.0,0.0,0.0"
24,"0.0,0.0,0.10074912,0.0,0.7073809,0.0,0.0,0.0"
25,"0.0,0.0,0.50808316,0.0,1.085145,0.0,0.0,0.0"
26,"0.0,0.0,0.51161134,0.0,1.0888858,0.0,0.0,0.0"
27,"0.0,0.0,0.1550086,0.0,0.7544023,0.0,0.0,0.0"
28,"0.0,0.0,0.89736295,0.0,1.3965979,0.0,0.0,0.0"
29,"0.0,0.0,0.72856545,0.0,1.2530975,0.0,0.0,0.0"
30,"0.0,0.0,0.14843822,0.0,0.74559623,0.0,0.0,0.0"
31,"0.0,0.0,0.09450424,0.0,0.6926702,0.0,0.0,0.0"
32,"0.0,0.0,0.7298757,0.0,1.2670763,0.0,0.0,0.0"
33,"0.0,0.0,0.21002913,0.0,0.8138659,0.0,0.0,0.0"
34,"0.0,0.0,0.6767813,0.0,1.2231555,0.0,0.0,0.0"
35,"0.0,0.0,0.2528879,0.0,0.8538307,0.0,0.0,0.0"
36,"0.0,0.0,0.82820326,0.0,1.3450234,0.0,0.0,0.0"
37,"0.0,0.0,0.33282638,0.0,0.9089606,0.0,0.0,0.0"
38,"0.0,0.0,0.0,0.0,0.45193994,0.0,0.0,0.0"
39,"0.0,0.0,0.541324,0.0,1.0988159,0.0,0.0,0.0"
40,"0.0,0.0,0.3850192,0.0,0.9842378,0.0,0.0,0.0"
41,"0.0,0.0,0.7705109,0.0,1.29683,0.0,0.0,0.0"
42,"0.0,0.0,0.0,0.0,0.57458144,0.0,0.0,0.0"
43,"0.0,0.0,0.44124663,0.0,1.029964,0.0,0.0,0.0"
44,"0.0,0.0,0.0,0.0,0.327176,0.0,0.0,0.0"
45,"0.0,0.0,0.3500613,0.0,0.9535291,0.0,0.0,0.0"
46,"0.0,0.0,0.45540127,0.0,1.0411526,0.0,0.0,0.0"
47,"0.0,0.0,0.909018,0.0,1.4028518,0.0,0.0,0.0"
48,"0.0,0.0,0.14281923,0.0,0.7483206,0.0,0.0,0.0"
49,"0.0,0.0,0.4193353,0.0,1.012818,0.0,0.0,0.0"
50,"0.0,0.0,1.5049132,0.0,1.8898784,0.0,0.0,0.0"
51,"0.0,0.0,0.25479305,0.0,0.8545105,0.0,0.0,0.0"
52,"0.0,0.0,0.56577516,0.0,1.1179881,0.0,0.0,0.0"
53,"0.0,0.0,0.2922003,0.0,0.8918042,0.0,0.0,0.0"
54,"0.0,0.0,0.06706761,0.0,0.68082416,0.0,0.0,0.0"
55,"0.0,0.0,0.0,0.0,0.5757448,0.0,0.0,0.0"
56,"0.0,0.0,0.17126785,0.0,0.78154284,0.0,0.0,0.0"
57,"0.0,0.0,0.48823696,0.0,1.0674196,0.0,0.0,0.0"
58,"0.0,0.0,0.703852,0.0,1.2446418,0.0,0.0,0.0"
59,"0.0,0.0,0.114136934,0.0,0.7078174,0.0,0.0,0.0"
60,"0.0,0.0,0.18127272,0.0,0.8008724,0.0,0.0,0.0"
61,"0.0,0.0,0.2591369,0.0,0.8614308,0.0,0.0,0.0"
62,"0.0,0.0,0.583707,0.0,1.1462318,0.0,0.0,0.0"
63,"0.0,0.0,0.2455455,0.0,0.85732806,0.0,0.0,0.0"
64,"0.0,0.0,0.0,0.0,0.18086648,0.0,0.0,0.0"
65,"0.0,0.0,0.0,0.0,0.033750355,0.0,0.0,0.0"
66,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
67,"0.0,0.0,0.26154518,0.0,0.86247045,0.0,0.0,0.0"
68,"0.0,0.0,0.1360022,0.0,0.74758077,0.0,0.0,0.0"
69,"0.0,0.0,0.55427223,0.0,1.1102817,0.0,0.0,0.0"
70,"0.0,0.0,0.05007322,0.0,0.67154765,0.0,0.0,0.0"
71,"0.0,0.0,0.0,0.0,0.10354203,0.0,0.0,0.0"
72,"0.0,0.0,0.44680378,0.0,1.0357997,0.0,0.0,0.0"
73,"0.0,0.0,0.6019497,0.0,1.1605597,0.0,0.0,0.0"
74,"0.0,0.0,0.40869367,0.0,1.0033395,0.0,0.0,0.0"
75,"0.0,0.0,0.0,0.0,0.5561182,0.0,0.0,0.0"
76,"0.0,0.0,0.069648184,0.0,0.67745435,0.0,0.0,0.0"
77,"0.0,0.0,0.44978,0.0,1.0280311,0.0,0.0,0.0"
78,"0.0,0.0,0.45372126,0.0,1.0398722,0.0,0.0,0.0"
79,"0.0,0.0,0.17163438,0.0,0.7763314,0.0,0.0,0.0"
80,"0.0,0.0,0.26348773,0.0,0.86277324,0.0,0.0,0.0"
81,"0.0,0.0,0.15582632,0.0,0.75829804,0.0,0.0,0.0"
82,"0.0,0.0,0.567574,0.0,1.133992,0.0,0.0,0.0"
83,"0.0,0.0,0.4804129,0.0,1.0617666,0.0,0.0,0.0"
84,"0.0,0.0,0.0,0.0,0.5254324,0.0,0.0,0.0"
85,"0.0,0.0,0.0126434285,0.0,0.61058354,0.0,0.0,0.0"
86,"0.0,0.0,0.30155855,0.0,0.9117534,0.0,0.0,0.0"
87,"0.0,0.0,0.0,0.0,0.15204719,0.0,0.0,0.0"
88,"0.0,0.0,0.25127688,0.0,0.8621416,0.0,0.0,0.0"
89,"0.0,0.0,0.108309954,0.0,0.73273176,0.0,0.0,0.0"
90,"0.0,0.0,0.25449318,0.0,0.8554433,0.0,0.0,0.0"
92,"0.0,0.0,0.008826913,0.0,0.6048979,0.0,0.0,0.0"
93,"0.0,0.0,0.0,0.0,0.40679955,0.0,0.0,0.0"
94,"0.0,0.0,0.32990032,0.0,0.9324379,0.0,0.0,0.0"
95,"0.0,0.0,0.0,0.0,0.4984817,0.0,0.0,0.0"
96,"0.0,0.0,0.31336695,0.0,0.9132602,0.0,0.0,0.0"
97,"0.0,0.0,0.47112632,0.0,1.0544208,0.0,0.0,0.0"
98,"0.0,0.0,0.032374002,0.0,0.64945453,0.0,0.0,0.0"
99,"0.0,0.0,0.45232737,0.0,1.029807,0.0,0.0,0.0"
100,"0.0,0.0,0.33764264,0.0,0.9405423,0.0,0.0,0.0"
101,"0.0,0.0,0.56865764,0.0,1.121268,0.0,0.0,0.0"
102,"0.0,0.0,0.0,0.0,0.4562996,0.0,0.0,0.0"
103,"0.0,0.0,0.0,0.0,0.48570102,0.0,0.0,0.0"
104,"0.0,0.0,0.5405238,0.0,1.0987792,0.0,0.0,0.0"
105,"0.0,0.0,0.19511566,0.0,0.7926696,0.0,0.0,0.0"
106,"0.0,0.0,0.28790677,0.0,0.88684976,0.0,0.0,0.0"
107,"0.0,0.0,0.3254458,0.0,0.92444265,0.0,0.0,0.0"
108,"0.0,0.0,0.6962395,0.0,1.2572466,0.0,0.0,0.0"
109,"0.0,0.0,0.1512436,0.0,0.769016,0.0,0.0,0.0"
110,"0.0,0.0,1.1321757,0.0,1.5941525,0.0,0.0,0.0"
111,"0.0,0.0,1.017544,0.0,1.4991326,0.0,0.0,0.0"
112,"0.0,0.0,0.35975912,0.0,0.949734,0.0,0.0,0.0"
113,"0.0,0.0,0.20696142,0.0,0.80852383,0.0,0.0,0.0"
114,"0.0,0.0,0.0754727,0.0,0.67477655,0.0,0.0,0.0"
115,"0.0,0.0,0.10571948,0.0,0.71652067,0.0,0.0,0.0"
116,"0.0,0.0,0.75946915,0.0,1.3078054,0.0,0.0,0.0"
117,"0.0,0.0,0.30236378,0.0,0.9008039,0.0,0.0,0.0"
118,"0.0,0.0,0.0,0.0,0.43506372,0.0,0.0,0.0"
119,"0.0,0.0,0.0,0.0,0.34713992,0.0,0.0,0.0"
120,"0.0,0.0,0.29069307,0.0,0.8916595,0.0,0.0,0.0"
121,"0.0,0.0,0.45747304,0.0,1.0436791,0.0,0.0,0.0"
122,"0.0,0.0,0.050426275,0.0,0.66578686,0.0,0.0,0.0"
123,"0.0,0.0,0.5651362,0.0,1.1315438,0.0,0.0,0.0"
124,"0.0,0.0,0.08417254,0.0,0.67858666,0.0,0.0,0.0"
125,"0.0,0.0,0.6451245,0.0,1.1829898,0.0,0.0,0.0"
126,"0.0,0.0,0.0,0.0,0.22569633,0.0,0.0,0.0"
127,"0.0,0.0,0.25796592,0.0,0.8583084,0.0,0.0,0.0"
128,"0.0,0.0,0.678825,0.0,1.2417727,0.0,0.0,0.0"
129,"0.0,0.0,0.0,0.0,0.5981792,0.0,0.0,0.0"
130,"0.0,0.0,0.28377226,0.0,0.8871126,0.0,0.0,0.0"
131,"0.0,0.0,0.40692088,0.0,1.0009527,0.0,0.0,0.0"
132,"0.0,0.0,0.13150111,0.0,0.7361942,0.0,0.0,0.0"
133,"0.0,0.0,0.22617146,0.0,0.82671213,0.0,0.0,0.0"
134,"0.0,0.0,0.46547806,0.0,1.043089,0.0,0.0,0.0"
135,"0.0,0.0,0.0,0.0,0.5613817,0.0,0.0,0.0"
136,"0.0,0.0,0.6447008,0.0,1.2144699,0.0,0.0,0.0"
137,"0.0,0.0,0.5025944,0.0,1.0825031,0.0,0.0,0.0"
138,"0.0,0.0,0.24901289,0.0,0.8474644,0.0,0.0,0.0"
139,"0.0,0.0,0.27233943,0.0,0.8764551,0.0,0.0,0.0"
140,"0.0,0.0,0.24261022,0.0,0.84182096,0.0,0.0,0.0"
141,"0.0,0.0,0.513506,0.0,1.0762172,0.0,0.0,0.0"
142,"0.0,0.0,0.29304492,0.0,0.8919172,0.0,0.0,0.0"
143,"0.0,0.0,0.2651009,0.0,0.8659456,0.0,0.0,0.0"
144,"0.0,0.0,0.28908557,0.0,0.895033,0.0,0.0,0.0"
145,"0.0,0.0,0.26539,0.0,0.8710342,0.0,0.0,0.0"
146,"0.0,0.0,0.206386,0.0,0.8227005,0.0,0.0,0.0"
147,"0.0,0.0,0.29675978,0.0,0.89753574,0.0,0.0,0.0"
148,"0.0,0.0,0.09066087,0.0,0.6881009,0.0,0.0,0.0"
149,"0.0,0.0,0.46464476,0.0,1.0479698,0.0,0.0,0.0"
150,"0.0,0.0,0.88483286,0.0,1.3928578,0.0,0.0,0.0"
151,"0.0,0.0,0.47918534,0.0,1.0616523,0.0,0.0,0.0"
152,"0.0,0.0,0.09238899,0.0,0.7172248,0.0,0.0,0.0"
153,"0.0,0.0,0.0,0.0,0.48606327,0.0,0.0,0.0"
154,"0.0,0.0,0.30715874,0.0,0.9097068,0.0,0.0,0.0"
155,"0.0,0.0,0.0,0.0,0.5749648,0.0,0.0,0.0"
156,"0.0,0.0,0.031981766,0.0,0.6409861,0.0,0.0,0.0"
157,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
158,"0.0,0.0,0.060264885,0.0,0.67332613,0.0,0.0,0.0"
159,"0.0,0.0,0.5206222,0.0,1.0947361,0.0,0.0,0.0"
160,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
161,"0.0,0.0,0.63197476,0.0,1.1845491,0.0,0.0,0.0"
162,"0.0,0.0,1.0484309,0.0,1.5442019,0.0,0.0,0.0"
163,"0.0,0.0,0.22319782,0.0,0.8375243,0.0,0.0,0.0"
164,"0.0,0.0,0.52815163,0.0,1.092248,0.0,0.0,0.0"
165,"0.0,0.0,0.51339513,0.0,1.0744089,0.0,0.0,0.0"
166,"0.0,0.0,0.0,0.0,0.5206846,0.0,0.0,0.0"
167,"0.0,0.0,0.23763475,0.0,0.8353976,0.0,0.0,0.0"
168,"0.0,0.0,0.0,0.0,0.53877074,0.0,0.0,0.0"
169,"0.0,0.0,0.0,0.0,0.1351977,0.0,0.0,0.0"
170,"0.0,0.0,0.15776826,0.0,0.77861255,0.0,0.0,0.0"
171,"0.0,0.0,0.20506065,0.0,0.82128423,0.0,0.0,0.0"
172,"0.0,0.0,0.0,0.0,0.24374208,0.0,0.0,0.0"
173,"0.0,0.0,0.0,0.0,0.53922033,0.0,0.0,0.0"
174,"0.0,0.0,0.0,0.0,0.35081613,0.0,0.0,0.0"
175,"0.0,0.0,0.21625373,0.0,0.8137529,0.0,0.0,0.0"
176,"0.0,0.0,0.6803379,0.0,1.2120512,0.0,0.0,0.0"
177,"0.0,0.0,0.030284973,0.0,0.6514329,0.0,0.0,0.0"
178,"0.0,0.0,0.16955689,0.0,0.781148,0.0,0.0,0.0"
179,"0.0,0.0,0.2831103,0.0,0.8830528,0.0,0.0,0.0"
180,"0.0,0.0,0.39350554,0.0,0.9785763,0.0,0.0,0.0"
181,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
182,"0.0,0.0,0.27016857,0.0,0.8693706,0.0,0.0,0.0"
183,"0.0,0.0,0.030779487,0.0,0.63484174,0.0,0.0,0.0"
184,"0.0,0.0,0.3816252,0.0,0.98076546,0.0,0.0,0.0"
185,"0.0,0.0,0.0076272544,0.0,0.6180215,0.0,0.0,0.0"
186,"0.0,0.0,0.0,0.0,0.51424074,0.0,0.0,0.0"
187,"0.0,0.0,0.24902627,0.0,0.85951537,0.0,0.0,0.0"
188,"0.0,0.0,0.22943509,0.0,0.83824635,0.0,0.0,0.0"
