user_id,user_embedding
1,"0.0,0.0,0.5839009,0.0,1.2885361,0.050975706,0.0,0.0"
2,"0.0,0.0,0.7106226,0.0,0.8912425,0.048077803,0.0,0.0"
3,"0.0,0.0,0.7817477,0.0,0.5513846,0.047130395,0.0,0.0"
4,"0.0,0.0,0.650758,0.0,1.0476055,0.049512904,0.0,0.0"
5,"0.0,0.0,0.72312206,0.0,0.75548285,0.048189297,0.0,0.0"
6,"0.0,0.0,0.62043107,0.0,1.1332095,0.05014292,0.0,0.0"
7,"0.0,0.0,0.57607377,0.0,1.2809899,0.051424555,0.0,0.0"
8,"0.0,0.0,0.6934245,0.0,0.8721636,0.048803333,0.0,0.0"
9,"0.0,0.0,0.65472025,0.0,1.0083941,0.04961231,0.0,0.0"
10,"0.0,0.0,0.5503941,0.0,1.395965,0.05192145,0.0,0.0"
11,"0.0,0.0,0.67871416,0.0,0.89259857,0.049257465,0.0,0.0"
12,"0.0,0.0,0.7868012,0.0,0.5496601,0.046948027,0.0,0.0"
13,"0.0,0.0,0.74957097,0.0,0.7020167,0.047688812,0.0,0.0"
14,"0.0,0.0,0.6977766,0.0,0.8875915,0.048526097,0.0,0.0"
15,"0.0,0.0,0.72257614,0.0,0.7793771,0.047950123,0.0,0.0"
16,"0.0,0.0,0.7255535,0.0,0.80515283,0.047794845,0.0,0.0"
17,"0.0,0.0,0.5707815,0.0,1.3161293,0.05149822,0.0,0.0"
18,"0.0,0.0,0.53193617,0.0,1.5069447,0.052271366,0.0,0.0"
19,"0.0,0.0,0.7379498,0.0,0.75555533,0.04760827,0.0,0.0"
20,"0.0,0.0,0.59929335,0.0,1.2055767,0.050698385,0.0,0.0"
21,"0.0,0.0,0.7546136,0.0,0.70803607,0.04733553,0.0,0.0"
22,"0.0,0.0,0.6686351,0.0,0.9490694,0.049344126,0.0,0.0"
23,"0.0,0.0,0.8166797,0.0,0.4921872,0.046287347,0.0,0.0"
24,"0.0,0.0,0.5923946,0.0,1.2318859,0.05090717,0.0,0.0"
25,"0.0,0.0,0.5015476,0.0,1.6171532,0.05322275,0.0,0.0"
26,"0.0,0.0,0.7800425,0.0,0.5850012,0.047099452,0.0,0.0"
27,"0.0,0.0,0.601695,0.0,1.1761346,0.050841626,0.0,0.0"
28,"0.0,0.0,0.59823394,0.0,1.188015,0.051015873,0.0,0.0"
29,"0.0,0.0,0.7538258,0.0,0.6939069,0.047344837,0.0,0.0"
30,"0.0,0.0,0.7626472,0.0,0.66109633,0.04712342,0.0,0.0"
31,"0.0,0.0,0.6597533,0.0,1.0394654,0.04919157,0.0,0.0"
32,"0.0,0.0,0.7300185,0.0,0.7736496,0.047856085,0.0,0.0"
33,"0.0,0.0,0.78000945,0.0,0.6523254,0.046753924,0.0,0.0"
34,"0.0,0.0,0.59694344,0.0,1.2326472,0.05077189,0.0,0.0"
35,"0.0,0.0,0.65795994,0.0,0.99937534,0.049448498,0.0,0.0"
36,"0.0,0.0,0.41782,0.0,1.9736919,0.05504066,0.0,0.0"
37,"0.0,0.0,0.5556148,0.0,1.3781917,0.051889855,0.0,0.0"
38,"0.0,0.0,0.65755934,0.0,1.0135618,0.04942851,0.0,0.0"
39,"0.0,0.0,0.7507826,0.0,0.70407397,0.04745076,0.0,0.0"
40,"0.0,0.0,0.5446552,0.0,1.4618721,0.05206604,0.0,0.0"
41,"0.0,0.0,0.67939615,0.0,0.93436515,0.048943345,0.0,0.0"
42,"0.0,0.0,0.5413286,0.0,1.4116417,0.052521646,0.0,0.0"
43,"0.0,0.0,0.6425183,0.0,1.0150659,0.04996572,0.0,0.0"
44,"0.0,0.0,0.53744495,0.0,1.4904444,0.052096494,0.0,0.0"
45,"0.0,0.0,0.68268615,0.0,0.95744467,0.04875289,0.0,0.0"
46,"0.0,0.0,0.53181064,0.0,1.4658816,0.05253212,0.0,0.0"
47,"0.0,0.0,0.76274556,0.0,0.66530764,0.047215648,0.0,0.0"
48,"0.0,0.0,0.8113101,0.0,0.4567135,0.04652737,0.0,0.0"
49,"0.0,0.0,0.69680345,0.0,0.8876542,0.04862564,0.0,0.0"
50,"0.0,0.0,0.8009629,0.0,0.48366055,0.04677049,0.0,0.0"
51,"0.0,0.0,0.68304724,0.0,0.93549764,0.048867807,0.0,0.0"
52,"0.0,0.0,0.6108173,0.0,1.1516116,0.050623566,0.0,0.0"
53,"0.0,0.0,0.20818114,0.0,2.8746276,0.060421534,0.0,0.0"
54,"0.0,0.0,0.6423414,0.0,1.0465391,0.049826328,0.0,0.0"
55,"0.0,0.0,0.7626808,0.0,0.6538245,0.047143877,0.0,0.0"
56,"0.0,0.0,0.6035063,0.0,1.1678083,0.050814856,0.0,0.0"
57,"0.0,0.0,0.75607425,0.0,0.6548911,0.04758602,0.0,0.0"
58,"0.0,0.0,0.5565442,0.0,1.3601077,0.051910013,0.0,0.0"
59,"0.0,0.0,0.83015645,0.0,0.4185922,0.046226766,0.0,0.0"
60,"0.0,0.0,0.808857,0.0,0.49061453,0.046439316,0.0,0.0"
61,"0.0,0.0,0.65532255,0.0,1.0108169,0.049581874,0.0,0.0"
62,"0.0,0.0,0.6071657,0.0,1.1885197,0.050479066,0.0,0.0"
63,"0.0,0.0,0.6924521,0.0,0.8924557,0.048625216,0.0,0.0"
64,"0.0,0.0,0.50207776,0.0,1.6042552,0.0531397,0.0,0.0"
65,"0.0,0.0,0.42663398,0.0,1.9330621,0.05506337,0.0,0.0"
66,"0.0,0.0,0.61718273,0.0,1.1232891,0.050445627,0.0,0.0"
67,"0.0,0.0,0.47317111,0.0,1.7490172,0.05377867,0.0,0.0"
68,"0.0,0.0,0.6973678,0.0,0.8672887,0.048589725,0.0,0.0"
69,"0.0,0.0,0.57884586,0.0,1.2705033,0.05142476,0.0,0.0"
70,"0.0,0.0,0.5842842,0.0,1.2693471,0.051155727,0.0,0.0"
71,"0.0,0.0,0.7574875,0.0,0.6734546,0.047269434,0.0,0.0"
72,"0.0,0.0,0.5868719,0.0,1.2841002,0.05098463,0.0,0.0"
73,"0.0,0.0,0.6587997,0.0,1.0007608,0.049534727,0.0,0.0"
74,"0.0,0.0,0.72945493,0.0,0.77686113,0.047700204,0.0,0.0"
75,"0.0,0.0,0.37114125,0.0,2.1823287,0.056239627,0.0,0.0"
76,"0.0,0.0,0.54825366,0.0,1.418777,0.051926192,0.0,0.0"
77,"0.0,0.0,0.7923326,0.0,0.5636297,0.046895046,0.0,0.0"
78,"0.0,0.0,0.58053696,0.0,1.2757598,0.051270414,0.0,0.0"
79,"0.0,0.0,0.78449917,0.0,0.63309526,0.04669615,0.0,0.0"
80,"0.0,0.0,0.68683106,0.0,0.92550737,0.04877477,0.0,0.0"
81,"0.0,0.0,0.4248038,0.0,1.953362,0.05488369,0.0,0.0"
82,"0.0,0.0,0.60803854,0.0,1.1743952,0.050584316,0.0,0.0"
83,"0.0,0.0,0.5033344,0.0,1.5856805,0.053191215,0.0,0.0"
84,"0.0,0.0,0.6301458,0.0,1.0838648,0.05020768,0.0,0.0"
85,"0.0,0.0,0.72178686,0.0,0.7917878,0.047974646,0.0,0.0"
86,"0.0,0.0,0.4307669,0.0,1.9286618,0.054599285,0.0,0.0"
87,"0.0,0.0,0.6490848,0.0,1.0196929,0.049725357,0.0,0.0"
88,"0.0,0.0,0.5581557,0.0,1.3712407,0.051896755,0.0,0.0"
89,"0.0,0.0,0.62106746,0.0,1.1598198,0.05020819,0.0,0.0"
90,"0.0,0.0,0.72261274,0.0,0.8447261,0.047935963,0.0,0.0"
91,"0.0,0.0,0.58635974,0.0,1.2586149,0.051108852,0.0,0.0"
92,"0.0,0.0,0.96634626,0.0,0.0,0.040626366,0.0,0.0"
93,"0.0,0.0,0.7203115,0.0,0.8031261,0.047987934,0.0,0.0"
94,"0.0,0.0,0.5544213,0.0,1.4039084,0.05180794,0.0,0.0"
95,"0.0,0.0,0.60937977,0.0,1.1907709,0.0504981,0.0,0.0"
96,"0.0,0.0,0.7096291,0.0,0.8376162,0.04825336,0.0,0.0"
97,"0.0,0.0,0.48013824,0.0,1.7233739,0.05344446,0.0,0.0"
98,"0.0,0.0,0.5885557,0.0,1.2573838,0.050946355,0.0,0.0"
99,"0.0,0.0,0.7597616,0.0,0.69003856,0.047098793,0.0,0.0"
100,"0.0,0.0,0.76935434,0.0,0.6620896,0.046988055,0.0,0.0"
101,"0.0,0.0,0.45146734,0.0,1.8527124,0.054229874,0.0,0.0"
102,"0.0,0.0,0.62241584,0.0,1.0720642,0.05051975,0.0,0.0"
103,"0.0,0.0,0.47443175,0.0,1.7507141,0.053651076,0.0,0.0"
104,"0.0,0.0,0.7454905,0.0,0.7025137,0.047568224,0.0,0.0"
105,"0.0,0.0,0.53528,0.0,1.4859579,0.05218362,0.0,0.0"
