word,vector
26985,"[-0.08157788217067719,0.04485902935266495,-0.03560459613800049,0.07710414379835129,0.002518109977245331]"
5451,"[-0.01672695204615593,0.045234885066747665,0.023883186280727386,-0.02078450843691826,-0.019449032843112946]"
4018,"[-0.1291561871767044,0.063893623650074,0.04831916466355324,-0.0976295918226242,-0.1921783685684204]"
4056,"[-0.16579893231391907,0.06356438249349594,-0.13163648545742035,-0.05521592125296593,-0.1754872351884842]"
32584,"[-0.03422517329454422,0.002282997127622366,-0.15332281589508057,-0.10829844325780869,-0.07242164015769958]"
6909,"[-0.0075353458523750305,0.09556595981121063,-0.05295134708285332,-0.011099816299974918,0.017663542181253433]"
205,"[-0.07665929943323135,0.030783552676439285,0.01066633127629757,0.040633466094732285,-0.03654199093580246]"
2014,"[-0.04343024268746376,0.040811002254486084,-0.0981738343834877,0.07497771829366684,-0.07493716478347778]"
193609,"[-0.08663427829742432,-0.08723845332860947,-0.009821122512221336,-0.06031222641468048,-0.011324791237711906]"
45,"[0.34000271558761597,-0.03871956467628479,0.012918127700686455,0.006733653135597706,0.049082957208156586]"
127108,"[-0.11300607025623322,0.09134573489427567,-0.029345739632844925,-0.09600314497947693,0.0066451928578317165]"
6979,"[-0.16228625178337097,0.04688694700598717,-0.054105207324028015,-0.02086620405316353,-0.09640222042798996]"
5608,"[0.03266754373908043,0.19315534830093384,-0.20959655940532684,0.04206552356481552,-0.19523835182189941]"
515,"[0.06971104443073273,-0.2885713279247284,0.015357241965830326,-0.17547594010829926,0.13074077665805817]"
86628,"[-0.1534712016582489,-0.04452476650476456,0.010392781347036362,-0.05621899664402008,-0.12566840648651123]"
64034,"[-0.1999993920326233,-0.07297404110431671,-0.1457022726535797,-0.11595170199871063,-0.18628785014152527]"
1210,"[-0.4871898293495178,-0.9198468923568726,1.6825727224349976,-0.24361762404441833,0.7006063461303711]"
1673,"[-0.12788359820842743,-0.17386986315250397,0.23635604977607727,-0.14678244292736053,-0.15754334628582]"
193571,"[-0.17952236533164978,-0.12302513420581818,-0.24551209807395935,0.05604950338602066,-0.07375182956457138]"
67923,"[-0.04582446068525314,0.16617880761623383,-0.1222236379981041,0.03281658887863159,0.014477121643722057]"
6290,"[-0.006656940560787916,-0.03750922903418541,0.05118146538734436,-0.05970282107591629,-0.0783643126487732]"
1554,"[-0.04266691207885742,-0.06219092011451721,0.05722181499004364,0.03986820951104164,0.032699476927518845]"
58154,"[-0.2640317380428314,0.017757141962647438,-0.18456178903579712,-0.0915575921535492,-0.1134834736585617]"
574,"[0.1089189350605011,0.013893729075789452,-0.062181100249290466,-0.1119878888130188,0.08982304483652115]"
2935,"[-0.18088063597679138,0.0518818236887455,-0.0810088962316513,0.11220917105674744,-0.10055417567491531]"
4621,"[-0.0017038143705576658,-0.11313685029745102,-0.038138069212436676,-0.029324045404791832,-0.008850625716149807]"
60766,"[-0.09285871684551239,-0.059328749775886536,-0.12864042818546295,0.06608681380748749,-0.018001269549131393]"
4464,"[-0.03875380754470825,0.04692162573337555,-0.16145822405815125,-0.06264392286539078,-0.07868395000696182]"
2371,"[-0.12196836620569229,-0.04596058651804924,-0.056171633303165436,0.05113670602440834,-0.01558066438883543]"
1262,"[-0.42502179741859436,-0.6317760348320007,0.8045754432678223,-0.3863304555416107,-0.1416713148355484]"
4386,"[-0.06144196167588234,-0.002156938426196575,-0.051087863743305206,0.008652706630527973,-0.042850054800510406]"
121338,"[-0.1326042115688324,-0.0694149062037468,-0.08628370612859726,-0.07781982421875,-0.10959276556968689]"
103228,"[-0.2948665916919708,0.09854310750961304,-0.2643308937549591,-0.01341260876506567,-0.05811226740479469]"
3723,"[-0.029524771496653557,-0.04520251974463463,0.015955021604895592,0.06750084459781647,-0.07191741466522217]"
8939,"[-0.02247263304889202,-0.05181442201137543,0.050292376428842545,0.007090665865689516,-0.02496468648314476]"
1690,"[-0.12530283629894257,-0.037929557263851166,0.10264264792203903,-0.04798482730984688,-0.023285772651433945]"
5181,"[-0.0007235631346702576,0.07003726810216904,-0.12346415221691132,0.003874615766108036,-0.13679273426532745]"
2240,"[-0.2116665244102478,0.03056660108268261,0.050800058990716934,-0.024964340031147003,-0.005077746696770191]"
164179,"[-0.41035547852516174,0.006167570129036903,-0.3760564923286438,0.02151656337082386,-0.0741862878203392]"
137857,"[-0.23710814118385315,0.06095176562666893,-0.09705450385808945,-0.01301220990717411,-0.0026246518827974796]"
3556,"[-0.10710851848125458,0.043830756098032,-0.1749461144208908,0.06903699040412903,-0.17023701965808868]"
1446,"[0.059751592576503754,-0.10186254978179932,-0.10767010599374771,-0.0786881297826767,0.007145036943256855]"
127180,"[-0.06635215878486633,0.053111836314201355,-0.25144320726394653,-0.08318131417036057,-0.06736868619918823]"
2335,"[-0.184224933385849,-0.057495661079883575,-0.016670159995555878,-0.052897222340106964,0.0036101127043366432]"
113453,"[-0.026256322860717773,-0.0027970967348665,-0.03403836488723755,-0.04833809286355972,-0.016199007630348206]"
71668,"[-0.19193580746650696,-0.022616222500801086,-0.22200314700603485,-0.04037763178348541,-0.03039051964879036]"
2728,"[-0.18862365186214447,-0.06832990050315857,-0.10267891734838486,0.11457620561122894,-0.08339463174343109]"
858,"[0.44280698895454407,-0.2091614007949829,0.22908741235733032,-0.19720560312271118,0.991274893283844]"
165843,"[-0.24684672057628632,-0.07808821648359299,-0.23663631081581116,-0.1252235472202301,-0.04072211682796478]"
3813,"[0.028466254472732544,0.12145411968231201,-0.1378587782382965,0.036893706768751144,0.048265907913446426]"
62383,"[-0.01474413275718689,0.0067369770258665085,-0.05274597555398941,-0.021755140274763107,-0.0609617605805397]"
3675,"[-0.2586236596107483,-0.03521359711885452,-0.1367332488298416,-0.04807039350271225,-0.02415125072002411]"
86644,"[-0.2210291624069214,0.015086216852068901,-0.20196382701396942,-0.016484415158629417,-0.01689637452363968]"
6059,"[-0.021811801940202713,0.11089188605546951,0.04295341670513153,-0.040248285979032516,0.0239056758582592]"
86293,"[0.021304963156580925,0.01906329207122326,-0.16144704818725586,0.03823932632803917,0.09236098825931549]"
1441,"[-0.14496132731437683,-0.11482738703489304,0.038965869694948196,-0.09052744507789612,-0.036790259182453156]"
2991,"[-0.04459754377603531,0.15906274318695068,0.007194335572421551,0.14221860468387604,-0.10838744789361954]"
2513,"[-0.05801963433623314,0.06855800747871399,0.013844547793269157,0.03476492688059807,-0.07307728379964828]"
