id,features
10,"[-0.34947553277015686, -2.3883156776428223, 0.7365351319313049, -0.780471920967102, 1.1136081218719482, -0.6783624291419983, 0.7465159296989441, 1.0215084552764893, -1.804223895072937, 1.2864567041397095]"
20,"[0.28214582800865173, -1.0096689462661743, 0.8045625686645508, 1.2772784233093262, 1.0328960418701172, -0.6544756293296814, 1.044737458229065, 0.819277286529541, -2.0362460613250732, 1.6105610132217407]"
30,"[0.5308755040168762, -3.254995107650757, 0.5238827466964722, 0.6762561202049255, 1.1934670209884644, 0.3609061539173126, 0.9346451759338379, 0.8610032796859741, -0.2721199095249176, 1.0853756666183472]"
40,"[0.019388971850275993, -0.6142103672027588, -0.7559941411018372, 1.1654306650161743, -0.0663149282336235, -0.7064511775970459, 0.8898998498916626, -0.11297225952148438, -1.8894041776657104, 0.19992607831954956]"
50,"[-0.32320693135261536, -3.4063994884490967, 0.2502707540988922, -0.4692949056625366, 1.3855133056640625, -1.1846723556518555, 0.6561879515647888, 1.4485752582550049, -1.4605481624603271, 2.0129213333129883]"
60,"[-0.8605626821517944, -2.037494659423828, 0.15796636044979095, -0.382971853017807, 1.9464149475097656, -0.6265795230865479, -0.9937964081764221, 0.5190558433532715, -1.3412827253341675, 1.3090821504592896]"
70,"[0.835725724697113, -2.590230703353882, -0.2688685357570648, -0.9599025845527649, 0.5778509378433228, 0.37605994939804077, -0.22828221321105957, 2.2712671756744385, -2.125264883041382, 2.0143849849700928]"
80,"[-0.15317127108573914, -3.1538491249084473, 0.8724581003189087, 0.3232356011867523, 0.6618497371673584, -1.23018217086792, 0.041274238377809525, 0.672031044960022, -1.1080533266067505, 2.2003610134124756]"
100,"[0.3249276280403137, -2.701169013977051, 1.2239335775375366, -0.4777209162712097, 1.3204230070114136, -0.8475757837295532, -0.20870161056518555, 0.04116947576403618, -0.7889406681060791, -0.3049146234989166]"
110,"[-0.6066948175430298, -2.599782943725586, 0.46039503812789917, -0.4343254864215851, 1.9231189489364624, -0.8603896498680115, 0.5069482922554016, 1.0982481241226196, -1.9474912881851196, 1.5555005073547363]"
140,"[0.1420329064130783, -2.2601354122161865, -0.05143944174051285, -1.5743377208709717, 0.5036909580230713, -1.8012639284133911, -0.0828046053647995, 0.4790642559528351, -1.9088934659957886, 0.6331706047058105]"
150,"[-0.4585670232772827, -2.7806971073150635, 0.8056696653366089, -0.6752249598503113, 1.3524253368377686, -1.2871649265289307, 0.6373668909072876, 0.5792915225028992, -1.8305250406265259, 0.9018216729164124]"
160,"[-0.7472532987594604, -1.2806856632232666, -0.2623494267463684, -0.576097309589386, 1.280381679534912, -0.5269902944564819, -0.8881844878196716, 0.8748293519020081, -2.467719078063965, 0.023906387388706207]"
170,"[-0.6084457635879517, -2.3310694694519043, 0.8700336217880249, -0.4542272388935089, 1.1964771747589111, -1.5301247835159302, -0.1185438260436058, 1.8636236190795898, -1.3891189098358154, 0.666141152381897]"
180,"[-0.022374320775270462, -2.571803092956543, -0.035681307315826416, -0.7102059721946716, 0.6896683573722839, -0.3199506998062134, 0.35988134145736694, 2.046576499938965, -1.3709189891815186, 2.239335060119629]"
190,"[1.8012934923171997, -2.837827205657959, 1.7113099098205566, 1.2965699434280396, 1.4521715641021729, 0.5760017037391663, 1.3897801637649536, -0.3320624530315399, 0.666208803653717, 2.3948960304260254]"
