id,features
10,"[-0.8156561255455017, -0.43886810541152954, 0.46178245544433594, -0.3741850256919861, -0.4950481653213501, -0.28439611196517944, 0.31433379650115967, 0.23681649565696716, -0.4145182967185974, -0.12361931800842285]"
20,"[-0.7560609579086304, -0.798147439956665, 0.19102789461612701, -0.6142585873603821, -0.05488373339176178, -0.10498996078968048, -0.167530819773674, 0.17077890038490295, -0.26854684948921204, 0.20534183084964752]"
30,"[-0.4617936313152313, 0.014611267484724522, 0.20589610934257507, -0.06924083083868027, 0.5774893164634705, -0.7857099175453186, 0.24631915986537933, 0.6617937684059143, -0.5464876890182495, 0.3694370687007904]"
40,"[0.582602858543396, -0.5758931040763855, 0.5362400412559509, 0.03251032531261444, 1.0871961116790771, -0.48189032077789307, -0.1772615760564804, 0.16251036524772644, -0.2702028453350067, 0.05798783898353577]"
50,"[0.1352393925189972, -0.5241665244102478, 0.15505044162273407, -0.24426347017288208, 0.29447463154792786, -0.3273557424545288, 0.5509957671165466, 0.14503592252731323, 0.057175152003765106, 0.14115118980407715]"
60,"[-0.8462294936180115, -0.2752865254878998, 0.33243417739868164, -0.7568736672401428, 0.3155210614204407, -0.04390523582696915, 0.5252532362937927, 0.5425382852554321, 0.041742630302906036, 0.519347608089447]"
70,"[-0.07633845508098602, -0.3288182318210602, -0.2794816792011261, -0.08934374898672104, 0.33379092812538147, -0.6447238326072693, 0.31007400155067444, 0.4396800696849823, -0.3615317642688751, 0.46494102478027344]"
80,"[-0.16674640774726868, -0.3160476088523865, 0.2501656413078308, 0.10187408328056335, 0.3370317220687866, -0.23562310636043549, 0.3397497236728668, 0.25853338837623596, -0.8689985275268555, 0.44077882170677185]"
90,"[0.5319187641143799, -0.48382624983787537, 0.12919780611991882, -0.1355530321598053, 0.6129190921783447, -0.8101702332496643, 0.15158674120903015, -0.18649326264858246, -0.2355806827545166, 0.34881505370140076]"
100,"[-0.2802630066871643, -0.4067174196243286, 0.08515641838312149, -0.2748839557170868, 0.16487368941307068, -0.3030548691749573, 0.37075287103652954, 0.20753514766693115, -1.066180944442749, -0.21346858143806458]"
110,"[-0.21714632213115692, -0.5519025325775146, 0.15928156673908234, 0.33191826939582825, 0.4618953764438629, -0.34342819452285767, -0.1479172706604004, 0.37991493940353394, 0.05125923082232475, 0.44458943605422974]"
120,"[0.38178953528404236, -0.31941187381744385, -0.04274476692080498, -0.5830817818641663, 0.5871060490608215, 0.4156225323677063, 1.3798842430114746, 0.6000345945358276, -0.27779918909072876, 0.4011482298374176]"
130,"[0.5495965480804443, -0.48634442687034607, 0.6354804039001465, -0.9824618101119995, 0.8133054375648499, 1.3858469724655151, -0.4225819706916809, -0.08819379657506943, -1.1363317966461182, 0.40193694829940796]"
140,"[0.06083579361438751, -0.40288442373275757, 0.35401612520217896, 0.010738590732216835, 0.11004415899515152, -0.8033946752548218, 0.2951749563217163, 0.043581102043390274, -0.6187421083450317, 0.12774944305419922]"
150,"[0.6565583944320679, -0.3971482217311859, 0.17313052713871002, -0.07601980865001678, 1.012726902961731, 0.14043356478214264, -0.016385741531848907, 0.2580741345882416, -0.4457640051841736, 0.3522934019565582]"
160,"[-0.13936495780944824, -0.07126437872648239, 0.4392423927783966, -0.29469284415245056, 1.1814626455307007, -0.34890639781951904, 0.6082171201705933, 0.31453937292099, 0.48505309224128723, 0.700426459312439]"
170,"[-0.4805479645729065, -0.44791945815086365, 0.09520190954208374, 0.24933157861232758, 0.4670315086841583, -0.44141846895217896, -0.46756792068481445, -0.30376747250556946, -0.6663694381713867, 0.1509530246257782]"
180,"[-0.12274473160505295, 0.03948378562927246, 0.41405269503593445, -0.3961591124534607, 0.6412725448608398, -0.8429075479507446, 0.459409236907959, 0.18018215894699097, -0.3726358413696289, 0.4851531386375427]"
190,"[-0.17606694996356964, -0.5944938063621521, 0.5272971987724304, -0.23044534027576447, 0.5223600268363953, -0.4925403594970703, 0.3958253860473633, 0.5898733139038086, -0.05900515988469124, -0.28554680943489075]"
200,"[-0.28813761472702026, -0.37631669640541077, 0.4075039327144623, -0.4569181501865387, -0.17915908992290497, -0.4396154582500458, 0.18659527599811554, 0.3827139139175415, -0.63640296459198, 0.2850203514099121]"
210,"[-0.5232259035110474, -0.0880197286605835, -0.12284403294324875, -0.36488914489746094, 0.2917555868625641, -0.3818370997905731, 0.3602588474750519, 0.6332358717918396, -0.751941978931427, 0.0699005126953125]"
220,"[0.022644847631454468, -0.231009840965271, -0.06763125211000443, -0.8969961404800415, 0.1880086213350296, -0.984508216381073, 0.4039326608181, 0.20349514484405518, -0.5664374232292175, 0.29832568764686584]"
230,"[-0.4276154339313507, 0.21913854777812958, 0.010731223970651627, 0.7857420444488525, 0.6048415303230286, -0.014914643950760365, 0.19313852488994598, 0.9119967818260193, -0.8105850219726562, 0.14821024239063263]"
240,"[-0.04626331850886345, -0.5172213912010193, 0.20324820280075073, 0.04284724220633507, 0.33571431040763855, 0.2523275911808014, -0.3111066222190857, 0.044987767934799194, -1.3560925722122192, 0.03589214012026787]"
250,"[0.3500460982322693, -0.9544764161109924, 0.29725003242492676, -0.26547664403915405, -0.3542492687702179, -0.8402033448219299, 0.5616454482078552, -0.13568121194839478, -0.5539343953132629, -0.25417307019233704]"
260,"[0.2174759805202484, -0.8171626329421997, -0.11758776754140854, 0.027544360607862473, -0.0269630067050457, 0.11291514337062836, 0.13763220608234406, -0.01721799001097679, -0.9487602114677429, 0.09671856462955475]"
270,"[0.43760380148887634, -0.582822859287262, 1.3141465187072754, -0.36927318572998047, 0.9878621101379395, -0.6298761367797852, -0.26967111229896545, -0.047303732484579086, 0.18089282512664795, 0.0645844116806984]"
280,"[-0.2788338363170624, -0.4022866189479828, -0.028221307322382927, 0.2727998197078705, 0.17775925993919373, -0.5162602066993713, 0.21080923080444336, 0.06048163026571274, -0.8037829995155334, 0.2663692831993103]"
290,"[-0.18422916531562805, -0.7301135659217834, 0.3089451789855957, -0.22351205348968506, 0.20814812183380127, -0.35588890314102173, 0.1347137689590454, 0.20234327018260956, -0.3024562895298004, 0.13733799755573273]"
300,"[-0.12408186495304108, -0.7350179553031921, -0.35588112473487854, 0.26103055477142334, 0.27474695444107056, -0.9754136800765991, 0.15915952622890472, 0.36253488063812256, 0.08629440516233444, 0.000755873741582036]"
310,"[-0.6568703055381775, -1.0734552145004272, -0.49743300676345825, 0.094004787504673, -0.0439833365380764, -0.17061743140220642, -0.21276146173477173, 0.49742045998573303, 0.35480815172195435, 0.1451568752527237]"
320,"[-0.475504070520401, -0.3404526710510254, -0.06483740359544754, -0.013738964684307575, -0.11442814022302628, -1.2958489656448364, 0.1672108769416809, 0.37531089782714844, -0.07973974198102951, 0.16971760988235474]"
330,"[0.20889824628829956, -0.24969273805618286, -0.2123127281665802, 0.0973346009850502, 0.27333763241767883, -0.9155198931694031, 0.2791772782802582, 0.6872442364692688, -0.2295287549495697, 0.30334609746932983]"
340,"[-0.23659805953502655, -0.574423611164093, 0.09831851720809937, -0.2780156135559082, 0.8929904699325562, 0.18848851323127747, -0.1651102751493454, -0.007672568317502737, -0.6026819944381714, 0.31471291184425354]"
350,"[-0.21936635673046112, -0.12278907001018524, -0.25852081179618835, 0.009574160911142826, 0.25897929072380066, -0.31026238203048706, 0.25095921754837036, 0.33288270235061646, -0.8872241973876953, 0.3385090231895447]"
360,"[-0.24195775389671326, -0.14452168345451355, 0.047249723225831985, 0.8673369288444519, 0.8936668038368225, -1.2146128416061401, 0.9462789297103882, -0.6946005821228027, -0.723553478717804, 0.2481876015663147]"
370,"[0.2603912949562073, -0.29746517539024353, 0.7520098090171814, -0.2603897452354431, -0.013170902617275715, -0.3495076894760132, -0.2841440439224243, 0.4100525677204132, -0.8609963655471802, 0.32770711183547974]"
380,"[-0.049569305032491684, -0.5752118825912476, -0.006316415034234524, -0.11229301989078522, 0.07782107591629028, -0.16323715448379517, -0.16659674048423767, 0.7946056127548218, -0.3111701011657715, 0.43748143315315247]"
390,"[0.12526553869247437, -0.3918115496635437, -0.00033120179432444274, 0.8630766868591309, 0.7099987864494324, -0.6792287826538086, -0.0982276052236557, 0.31659218668937683, -0.3444361090660095, 0.27079761028289795]"
400,"[0.09578751772642136, -0.5716457366943359, 0.23003031313419342, 0.13159701228141785, 0.5351779460906982, -0.5464563965797424, 0.21497392654418945, 0.21069598197937012, -0.4747740626335144, 0.23005777597427368]"
410,"[0.027126062661409378, -0.6475430130958557, -0.05982939526438713, -0.5102496147155762, 0.064864881336689, -0.32416948676109314, 0.06259977072477341, 0.16472412645816803, -0.578605055809021, 0.10856067389249802]"
420,"[-0.010785132646560669, -0.3937731981277466, 0.2617615759372711, -0.008323014713823795, 0.23724979162216187, -0.5791348814964294, -0.07408372312784195, 0.40971335768699646, -0.5154653191566467, 0.29626747965812683]"
