userId,movieId
1,1 3 6 47 50 101 110 151 157 163 216 231 235 260 333 349 356 362 367 441 457 480 527 543 552 553 590 592 593 596 608 661 733 804 919 923 940 943 954 1023 1024 1025 1029 1031 1032 1042 1049 1060 1073 1080 1089 1090 1092 1097 1127 1136 1196 1197 1198 1206 1208 1210 1213 1214 1220 1222 1224 1226 1240 1256 1265 1270 1275 1278 1282 1291 1298 1348 1473 1500 1517 1552 1573 1587 1617 1620 1625 1732 1777 1793 1804 1805 1920 1927 1954 1967 2000 2005 2012 2018 2028 2033 2046 2048 2054 2058 2078 2090 2094 2096 2099 2105 2115 2116 2137 2139 2141 2143 2161 2174 2193 2268 2273 2291 2329 2353 2366 2387 2395 2406 2427 2450 2459 2470 2478 2492 2502 2529 2542 2571 2580 2596 2616 2628 2640 2641 2644 2648 2654 2692 2700 2716 2761 2797 2826 2858 2872 2899 2916 2944 2947 2948 2949 2959 2985 2987 2991 2993 2997 3033 3034 3052 3053 3062 3147 3168 3253 3273 3386 3439 3440 3441 3448 3450 3479 3489 3527 3578 3617 3639 3671 3702 3703 3729 3740 3744 3793 3809 4006 5060
2,333 1704 3578 6874 46970 48516 58559 60756 68157 74458 79132 80489 80906 86345 89774 106782 112552 122882 131724
3,849 1587 2288 2851 3024 3703 4518 5181 5746 5764 5919 6835 7899 7991 26409 70946
4,106 125 162 176 215 232 260 265 319 342 345 348 368 457 475 492 538 588 593 608 708 800 892 898 899 902 904 908 910 912 914 919 920 930 1025 1046 1073 1077 1080 1084 1086 1103 1136 1179 1188 1196 1197 1203 1213 1219 1225 1250 1259 1265 1266 1282 1283 1288 1291 1449 1466 1500 1517 1641 1719 1732 1733 1834 1883 1895 1914 1947 1967 1968 2076 2078 2109 2150 2174 2186 2203 2204 2351 2359 2390 2406 2467 2583 2599 2683 2692 2762 2791 2843 2858 2874 2921 2926 2997 3033 3044 3060 3083 3160 3176 3204 3255 3317 3365 3386 3408 3508 3851 3897 3967 3996 4021 4033 4034 4121 4239 4246 4273 4347 4765 4896 4902 4967
5,1 21 34 36 50 58 110 232 247 261 290 296 367 457 474 475 527 531 588 590 594 595 596
6,2 3 5 6 7 11 15 16 17 22 24 26 32 34 36 41 43 46 47 54 60 61 62 76 86 89 92 93 95 104 110 112 141 145 146 150 151 158 160 168 195 207 210 212 216 222 225 230 236 237 248 250 252 257 261 262 271 274 276 277 281 292 304 314 315 316 317 318 329 333 337 339 340 349 350 351 353 354 355 356 361 364 367 368 370 377 380 415 432 434 440 450 454 457 468 469 474 475 477 480 491 500 508 515 516 542 553 569 587 588 590 593 594 595 597 609 616 631 637 647 700 708 709 711 736 780 783 802 830 835 838 848 852 986 991 996 1004 1006 1049 1061 1064 1082
7,1 50 150 165 260 356 466 480 593 648 750 780 924 1101 1196 1208 1210 1219 1220 1240 1270 1584 1610 1917 1954 2019 2529 2671 2762 2858 3114 3408 3869 3916 4018 4306 4370 4886 4896 4963 4993 4995 5445 5618 5816 5952 5989 5991 6333 6365 6539 6863 7143 7153 7445 8207 8528 8636 8798 8908 8949 8957 8961 8984 34319 42002 45499 45517 48783 49272
8,2 11 21 34 47 50 150 185 186 231 253 296 318 357 364 377 380 454 480 527 590 593
9,223 922 923 1095 1198 1270 1674 2012 2300 4993 5218 5445 5447 5451 5481 5890 5893 5902 5952 5956 5965 6001
10,588 912 1907 3578 4306 4447 4993 4995 5952 6535 6942 7149 7153 7154 7169 7375 7458 8533 8869 31685 33794 40819 49272 49286 51705 58559 63992 68954 69406 71579 79091 81845 88163 91529 92259 94070 95167 95449 96079 103335 103339 104374 106696 109853 112006 113275 113394 136020 137595 140110
11,6 36 110 150 170 292 318 349 356 380 457 474 480 511 529 589 593 648 733 736 780 1101 1210 1358 1408 1518 1552 1584 1586 1597 1604 1608 1693 1704 1721 1784 1840 1917 1918 1923 2028
12,39 168 222 256 261 830 838 920 1357 1721 2072 2485 2572 2581 2694 2717 3668 3967 4018 5620 6942 8533 40629 63992
13,47 1198 1590 1639 1721 2571 3300 3578 3624 3753 3793 3798 3827 3863 3897 3996 4011 4148
14,25 32 47 95 110 150 266 282 288 337 339 356 376 383 434 477 509 539 553 590 593
15,260 296 318 356 527 589 858 1196 1198 1200 1210 1214 1240 1270 1653 2001 2011 2012 2150 2329 2571 2858 2916 3147 3156 3499 3510 3555 3578 3949 4018 4370 4720 4995 5445 5989 33493 48304 48780 64614 69757 71057 84152 84954 97938 101864 104841 105504 109487 111759 112556 122886 134130 134853 152077 166528
16,50 111 293 318 319 527 541 608 678 745 750 849 913 1089 1136 1147 1148 1193 1197 1199 1203 1207 1208 1214 1222 1223 1230 1247 1252 1260 1261 1267 1276 1299 2019 3000 3108 3683 3741 3949 4226 4973 5618 5782 5971 27611 27773 48394 58559 60069 68954 78499 91529
17,1 47 50 110 111 260 296 318 356 480 527 589 590 592 593 750 780 858 904 1032 1036 1089 1090 1093 1193 1196 1198 1201 1206 1210 1213 1221 1222 1228 1234 1240 1252 1258 1259 1263 1270 1291 1405 1732 1967 2005 2028 2194 2329 2502 2571 2762 2858 2959 3039 3147 3263 3508 3681 3949 4226 4571 4993 5618 5782 5952 5971 6016 6350 7099 7153 7482 27773 31658 33794 48394 48516 58559 68157 68358 78499 79132 80463 82459
